,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,TGV Pentagone U15 AA,LHDAAQ,152862,7,10,6,20,6,17,,,,,,,,,,,,,,,,,
0,20122013,TGV Pentagone Bantam AAA R,LHDAAQ,153199,12,11,34,16,34,23,0.0,,,,,,,,,,,,,,,,
0,20132014,Col Notre Dame,QAAA,1,21,17,92,40,92,38,,,,,,,,,,,,,,,,,
0,20142015,Cape Breton,QMJHL,1,35,10,58,54,58,45,4.0,106.0,3.0,9.4,1.0,1.0,,,,,,,,,,,
0,20152016,Cape Breton,QMJHL,1,57,42,112,62,112,99,40.0,,10.0,,6.0,3.0,,,,,,,,,,,
0,20152016,Cape Breton Eagles,QMJHL,9690,57,42,112,62,112,99,40.0,,,,,,,,,,,,,,,,
0,20152016,Canada U18,Hlinka Gretzky Cup,144760,3,0,0,4,0,3,1.0,,,,,,,,,,,,,,,,
0,20152016,Team White,U18-Dev,178691,0,2,2,3,2,2,,,,,,,,,,,,,,,,,
0,20162017,Cape Breton Eagles,QMJHL,9690,12,6,33,20,33,18,4.0,,,,,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,5,0,6,7,6,5,2.0,,,,,,,,,,,,,,,,
0,20162017,Blainville-Boisbriand Armada,QMJHL,102710,22,15,45,28,45,37,13.0,,,,,,,,,,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,28,20,49,82,49,48,8.0,165.0,6.0,12.12,4.0,0.0,1364:02,127.0,15.0,159:01,1192:20,43.82,1.0,0.0,12:41,46.0,1727.0
0,20172018,Canada,WC,17155,4,3,2,9,2,7,4.0,,,,,,,,,,,,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,34,27,64,82,64,61,16.0,174.0,2.0,15.52,5.0,0.0,1452:40,115.0,9.0,188:33,1249:28,43.46,1.0,0.0,14:39,52.0,1820.0
0,20182019,Canada,WC,17155,4,3,6,8,6,7,10.0,,,,,,,,,,,,,,,,
0,20192020,Columbus Blue Jackets,National Hockey League,1,31,18,49,70,49,49,-2.0,158.0,1.0,11.4,4.0,0.0,1255:14,85.0,10.0,187:01,1061:05,44.6,2.0,0.0,07:08,50.0,1532.0
0,20202021,Columbus Blue Jackets,National Hockey League,1,0,1,2,5,2,1,-2.0,7.0,0.0,14.3,1.0,0.0,72:34,2.0,0.0,07:17,65:11,54.1,0.0,0.0,00:06,3.0,86.0
0,20202021,Winnipeg Jets,National Hockey League,2,12,8,36,41,36,20,-6.0,69.0,1.0,11.6,2.0,0.0,618:55,57.0,6.0,63:54,554:43,41.43,2.0,0.0,00:18,23.0,813.0
0,20212022,Winnipeg Jets,National Hockey League,1,32,28,106,81,106,60,-6.0,233.0,15.0,12.0,6.0,0.0,1532:31,112.0,19.0,252:01,1278:54,46.87,1.0,0.0,01:36,43.0,1767.0
0,20212022,Canada,WC,17155,6,7,12,10,12,13,11.0,,,,,,,,,,,,,,,,
