,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Wallisellen U15,Mini B,10086604,1,3,0,2,0,4,,,,,,,,,,,,,,,,,
0,20072008,Wallisellen U15,Mini B,10086604,16,12,2,8,2,28,,,,,,,,,,,,,,,,,
0,20082009,Dübendorf U15,U15-Elit,80052,0,0,0,2,0,0,,,,,,,,,,,,,,,,,
0,20082009,Wallisellen U15,U15-Top,85711,7,11,0,10,0,18,,,,,,,,,,,,,,,,,
0,20092010,ZSC II U17,U17-Top,79856,3,5,0,17,0,8,,,,,,,,,,,,,,,,,
0,20092010,Dübendorf U15,U15-Elit,80052,11,6,14,27,14,17,,,,,,,,,,,,,,,,,
0,20102011,GC/Küsnacht U17,U17-Top,79796,6,4,2,15,2,10,,,,,,,,,,,,,,,,,
0,20102011,Dübendorf U15,U15-Elit,80052,33,28,30,28,30,61,,,,,,,,,,,,,,,,,
0,20112012,ZSC U20,U20-Top,44234,1,2,2,6,2,3,,,,,,,,,,,,,,,,,
0,20112012,ZSC U17,U17-Elit,49425,20,24,12,32,12,44,,,,,,,,,,,,,,,,,
0,20122013,Switzerland U18,WJC-18,16773,0,3,4,5,4,3,0.0,,,,,,,,,,,,,,,,
0,20122013,GC/Küsnacht U20,U20-Elit,44113,9,12,14,33,14,21,,,,,,,,,,,,,,,,,
0,20122013,ZSC U17,U17-Elit,49425,10,15,4,7,4,25,,,,,,,,,,,,,,,,,
0,20132014,Guelph Storm,OHL,5529,15,9,16,66,16,24,16.0,,,,,,,,,,,,,,,,
0,20142015,Guelph Storm,OHL,5529,29,43,28,61,28,72,25.0,,,,,,,,,,,,,,,,
0,20142015,Switzerland U20,WJC-20,16784,0,2,2,6,2,2,5.0,,,,,,,,,,,,,,,,
0,20152016,ZSC,Champions HL,1292,0,1,0,4,0,1,0.0,,,,,,,,,,,,,,,,
0,20152016,ZSC,NL,2436,10,14,14,45,14,24,12.0,,,,,,,,,,,,,,,,
0,20152016,GC/Küsnacht,SL,3867,1,0,2,1,2,1,-1.0,,,,,,,,,,,,,,,,
0,20152016,Switzerland U20,WJC-20,17756,1,3,4,6,4,4,-3.0,,,,,,,,,,,,,,,,
0,20152016,GC/Küsnacht U20,U20-Elit,44586,1,0,2,1,2,1,,,,,,,,,,,,,,,,,
0,20162017,ZSC,Champions HL,1292,1,1,2,6,2,2,2.0,,,,,,,,,,,,,,,,
0,20162017,ZSC,NL,2436,11,17,16,38,16,28,14.0,,,,,,,,,,,,,,,,
0,20162017,Switzerland,WC,16145,2,1,4,8,4,3,1.0,,,,,,,,,,,,,,,,
0,20172018,ZSC,Champions HL,1292,3,6,6,9,6,9,7.0,,,,,,,,,,,,,,,,
0,20172018,ZSC,NL,2436,28,11,12,36,12,39,13.0,,,,,,,,,,,,,,,,
0,20172018,Switzerland,OG,17442,2,3,0,4,0,5,4.0,,,,,,,,,,,,,,,,
0,20172018,Team Switzerland,Spengler Cup,156425,1,0,2,3,2,1,4.0,,,,,,,,,,,,,,,,
0,20182019,ZSC,Champions HL,1292,8,2,6,8,6,10,2.0,,,,,,,,,,,,,,,,
0,20182019,ZSC,NL,2436,15,9,16,41,16,24,4.0,,,,,,,,,,,,,,,,
0,20192020,ZSC,NL,2436,23,30,16,50,16,53,23.0,,,,,,,,,,,,,,,,
0,20202021,Chicago Blackhawks,National Hockey League,1,13,14,14,55,14,27,-5.0,898:21,112.0,28.0,1.0,3.0,73:50,795:51,42.56,12.5,3.0,1.0,0.0,0.0,28:40,34.0,1073.0
0,20202021,ZSC,NL,2436,3,2,8,6,8,5,3.0,,,,,,,,,,,,,,,,
0,20202021,GC/Küsnacht,SL,3867,3,2,4,6,4,5,0.0,,,,,,,,,,,,,,,,
0,20212022,Detroit Red Wings,National Hockey League,1,21,15,22,82,22,36,-11.0,1387:46,166.0,24.0,0.0,3.0,109:41,1138:37,49.3,9.0,3.0,0.0,1.0,1.0,139:28,37.0,1671.0
0,20212022,Switzerland,WC,16145,5,3,4,8,4,8,2.0,,,,,,,,,,,,,,,,
