,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20162017,York Simcoe Express U16 AAA,ETAHL U16,97844,3,1,0,4,0,4,,,,,,,,,,,,,,,,,
0,20162017,York Simcoe Express U15 AAA,ETAHL U15,141013,61,47,40,33,40,108,,,,,,,,,,,,,,,,,
0,20162017,Oshawa Generals Selects U15,WSI U15,222750,8,11,19,9,19,19,,,,,,,,,,,,,,,,,
0,20172018,Milton Menace,OJHL,21870,1,1,0,1,0,2,,,,,,,,,,,,,,,,,
0,20172018,York Simcoe Express U16 AAA,ETAHL U16,97844,44,48,24,34,24,92,,,,,,,,,,,,,,,,,
0,20172018,Team OMHA Black,OGC-16,156327,3,2,8,4,8,5,,,,,,,,,,,,,,,,,
0,20182019,Sudbury Wolves,OHL,6228,32,29,38,64,38,61,12.0,,,,,,,,,,,,,,,,
0,20182019,Canada Black U17,WHC-17,163780,1,2,12,5,12,3,,,,,,,,,,,,,,,,,
0,20192020,Sudbury Wolves,OHL,6228,50,32,44,45,44,82,26.0,,,,,,,,,,,,,,,,
0,20192020,Canada U20,WJC-20,17216,1,0,4,7,4,1,-3.0,,,,,,,,,,,,,,,,
0,20192020,Canada U18,Hlinka Gretzky Cup,144760,2,3,4,5,4,5,1.0,,,,,,,,,,,,,,,,
0,20202021,Los Angeles Kings,National Hockey League,1,1,0,2,6,2,1,1.0,90:03,9.0,3.0,0.0,0.0,08:13,80:31,39.39,0.0,0.0,0.0,0.0,0.0,01:19,3.0,113.0
0,20202021,Canada U20,WJC-20,17216,5,2,4,7,4,7,7.0,,,,,,,,,,,,,,,,
0,20202021,Ontario Reign,AHL,26957,12,8,24,32,24,20,-9.0,,,,,,,,,,,,,,,,
0,20212022,Los Angeles Kings,National Hockey League,1,5,5,20,40,20,10,-7.0,486:16,39.0,20.0,0.0,1.0,22:24,461:14,45.42,12.8,1.0,0.0,0.0,0.0,02:38,11.0,682.0
0,20212022,Ontario Reign,AHL,26957,2,4,10,11,10,6,0.0,,,,,,,,,,,,,,,,
