,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Trinec U17,CzR-U17,1,1,0,0,2,0,1,,,,,,,,,,,,,,,,,
0,20082009,Trinec U17,CzR-U17,1,21,16,32,44,32,37,,,,,,,,,,,,,,,,,
0,20092010,Trinec U18,CzR-U18,1,19,19,52,36,52,38,,,,,,,,,,,,,,,,,
0,20092010,Trinec Jr.,CzRep-Jr.,2,0,0,2,3,2,0,,,,,,,,,,,,,,,,,
0,20102011,Trinec U18,CzR-U18,1,30,19,32,28,32,49,,,,,,,,,,,,,,,,,
0,20102011,Trinec Jr.,CzRep-Jr.,2,6,9,12,24,12,15,,,,,,,,,,,,,,,,,
0,20112012,Kitchener,OHL,1,37,29,47,62,47,66,8.0,3.0,19.0,,,,,,,,,,,,,,
0,20112012,Czech Republic,WJC-A,2,0,2,4,6,4,2,0.0,0.0,-3.0,0.0,,,,,,,,,,,,,
0,20122013,Kitchener,OHL,1,22,9,26,39,26,31,6.0,0.0,-1.0,,,,,,,,,,,,,,
0,20122013,Czech Republic,WJC-A,2,2,0,2,6,2,2,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
0,20122013,Texas,AHL,3,1,0,0,2,0,1,0.0,0.0,-1.0,0.0,1.0,0.0,,,,,,,,,,,
0,20132014,Kitchener,OHL,1,11,16,22,30,22,27,3.0,2.0,-8.0,1.0,,,,,,,,,,,,,
0,20132014,Czech Republic,WJC-A,2,0,1,2,5,2,1,0.0,0.0,-1.0,0.0,6.0,,,,,,,,,,,,
0,20132014,Sudbury,OHL,3,16,5,26,29,26,21,2.0,0.0,-1.0,1.0,,,,,,,,,,,,,
0,20132014,Texas,AHL,4,2,1,6,6,6,3,0.0,0.0,-2.0,0.0,5.0,20.0,,,,,,,,,,,
0,20142015,Texas,AHL,1,6,4,12,32,12,10,0.0,0.0,-13.0,1.0,49.0,8.2,,,,,,,,,,,
0,20152016,Dallas Stars,National Hockey League,1,7,5,16,45,16,12,0.0,0.0,9.0,1.0,67.0,7.46,555:55,48.0,1.0,03:23,493:29,49.13,0.0,0.0,59:03,33.0,834.0
0,20152016,Texas,AHL,2,11,15,22,28,22,26,1.0,0.0,12.0,4.0,62.0,24.2,,,,,,,,,,,
0,20152016,Czech Republic,WC-A,3,0,0,0,3,0,0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,
0,20152016,Czechia,WC,17015,0,0,0,3,0,0,,,1.0,,,,,,,,,,,,,,
0,20152016,Texas Stars,AHL,45177,11,15,22,28,22,26,,,12.0,,,,,,,,,,,,,,
0,20162017,Dallas Stars,National Hockey League,1,21,12,67,80,67,33,0.0,0.0,-6.0,0.0,132.0,9.09,1293:48,101.0,2.0,43:12,1093:42,48.28,0.0,0.0,156:54,62.0,1937.0
0,20162017,Czechia,WCup,17056,0,0,0,1,0,0,,,-1.0,,,,,,,,,,,,,,
0,20172018,Dallas Stars,National Hockey League,1,16,17,36,79,36,33,0.0,2.0,21.0,3.0,118.0,14.41,1206:26,101.0,0.0,18:45,1030:39,51.62,0.0,2.0,157:02,56.0,1842.0
0,20172018,Czechia,WC,17015,3,0,4,8,4,3,,,1.0,,,,,,,,,,,,,,
0,20172018,Czechia,EHT,68526,0,0,2,2,2,0,,,-2.0,,,,,,,,,,,,,,
0,20182019,Dallas Stars,National Hockey League,1,15,15,54,81,54,30,1.0,1.0,-3.0,1.0,114.0,13.16,1330:49,103.0,3.0,72:07,1127:45,50.35,0.0,2.0,130:57,65.0,1953.0
0,20182019,Czechia,WC,17015,3,1,2,7,2,4,,,-1.0,,,,,,,,,,,,,,
0,20192020,Dallas Stars,National Hockey League,1,9,11,42,66,42,20,3.0,0.0,-6.0,3.0,109.0,10.1,1048:49,84.0,3.0,96:54,855:48,49.88,0.0,0.0,96:07,44.0,1512.0
0,20202021,Dallas Stars,National Hockey League,1,8,6,30,55,30,14,1.0,1.0,-15.0,0.0,94.0,6.4,958:41,100.0,2.0,85:41,762:35,55.79,0.0,1.0,110:25,45.0,1376.0
0,20212022,Dallas Stars,National Hockey League,1,14,5,52,77,52,19,1.0,1.0,-20.0,1.0,89.0,5.6,1214:12,129.0,1.0,07:31,1064:06,55.11,0.0,2.0,142:35,68.0,1723.0
