,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,HC Benatky nad Jizerou U18,Czech U18 2,125856,4,0,26,29,26,0,4,,,,,,,,,,,,,,,,
0,20082009,HC Benatky nad Jizerou U18,Czech U18 2,125856,13,0,72,30,72,55,13,,,,,,,,,,,,,,,,
0,20082009,HC Benatky nad Jizerou U20,Czech U20 3,125975,1,0,0,2,0,9,1,,,,,,,,,,,,,,,,
0,20092010,Bili Tygri Liberec U20,Czech U20,40093,4,4,8,19,8,6,8,,,,,,,,,,,,,,,,
0,20092010,Bili Tygri Liberec U18,Czech U18,40632,2,1,6,10,6,2,3,,,,,,,,,,,,,,,,
0,20092010,HC Benatky nad Jizerou U20,Czech U20 2,125847,0,1,2,3,2,2,1,,,,,,,,,,,,,,,,
0,20092010,HC Benatky nad Jizerou U18,Czech U18 2,125856,2,0,0,5,0,7,2,,,,,,,,,,,,,,,,
0,20102011,Bili Tygri Liberec U20,Czech U20,40093,9,1,16,36,16,5,10,,,,,,,,,,,,,,,,
0,20112012,HC Benatky nad Jizerou,Czech2,25443,0,0,8,9,8,-6,0,,,,,,,,,,,,,,,,
0,20112012,Bili Tygri Liberec U20,Czech U20,40093,4,6,14,32,14,-13,10,,,,,,,,,,,,,,,,
0,20122013,Bili Tygri Liberec,Czech,7011,0,0,2,7,2,-2,0,,,,,,,,,,,,,,,,
0,20122013,HC Benatky nad Jizerou,Czech2,25443,5,0,41,37,41,2,5,,,,,,,,,,,,,,,,
0,20132014,Bili Tygri Liberec,Czech,7011,0,0,4,24,4,4,0,,,,,,,,,,,,,,,,
0,20132014,HC Benatky nad Jizerou,Czech2,25443,1,1,20,19,20,-7,2,,,,,,,,,,,,,,,,
0,20142015,Bili Tygri Liberec,Czech,7011,13,10,24,47,24,9,23,,,,,,,,,,,,,,,,
0,20142015,HC Benatky nad Jizerou,Czech2,25443,0,1,0,2,0,2,1,,,,,,,,,,,,,,,,
0,20152016,Bili Tygri Liberec,Champions HL,7112,4,0,6,8,6,5,4,,,,,,,,,,,,,,,,
0,20152016,Bili Tygri Liberec,Czech,7146,12,9,28,51,28,17,21,,,,,,,,,,,,,,,,
0,20152016,Czechia,WC,17015,0,1,4,8,4,2,1,,,,,,,,,,,,,,,,
0,20152016,Czechia,EHT,68526,2,1,0,8,0,-3,3,,,,,,,,,,,,,,,,
0,20162017,Bili Tygri Liberec,Champions HL,7112,4,1,6,8,6,-1,5,,,,,,,,,,,,,,,,
0,20162017,Bili Tygri Liberec,Czech,7146,13,11,30,42,30,18,24,,,,,,,,,,,,,,,,
0,20162017,Czechia,WC,17015,1,1,0,8,0,-2,2,,,,,,,,,,,,,,,,
0,20162017,Czechia,EHT,68526,0,2,2,6,2,3,2,,,,,,,,,,,,,,,,
0,20172018,San Jose Barracuda,AHL,187427,20,7,20,67,20,6,27,,,,,,,,,,,,,,,,
0,20182019,San Jose Sharks,National Hockey League,1,8,1,8,41,8,7,9,623:52,41.0,67.0,0.0,0.0,02:00,587:25,0.0,2.44,1.0,0.0,0.0,0.0,34:27,34.0,850.0
0,20192020,San Jose Sharks,National Hockey League,1,7,2,14,48,14,-13,9,824:38,40.0,91.0,0.0,0.0,01:54,741:41,0.0,5.0,0.0,0.0,0.0,0.0,81:03,60.0,1098.0
0,20192020,San Jose Barracuda,AHL,187427,2,0,0,2,0,2,2,,,,,,,,,,,,,,,,
0,20202021,San Jose Sharks,National Hockey League,1,4,2,15,40,15,-9,6,568:29,26.0,76.0,0.0,0.0,02:53,511:47,0.0,7.7,0.0,0.0,0.0,0.0,53:49,49.0,785.0
0,20212022,San Jose Sharks,National Hockey League,1,1,1,8,36,8,-13,2,478:08,25.0,96.0,0.0,0.0,03:52,466:01,0.0,4.0,0.0,0.0,0.0,0.0,08:15,39.0,694.0
0,20212022,Czechia,WC,17015,2,0,2,9,2,0,2,,,,,,,,,,,,,,,,
