,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Kladno U17,CzR-U17,1,5,1,70,46,70,0.0,6,,,,,,,,,,,,,,,,
0,20052006,Kladno U17,CzR-U17,1,14,12,178,46,178,0.0,26,,,,,,,,,,,,,,,,
0,20062007,Kladno U17,CzR-U17,1,7,6,34,16,34,0.0,13,,,,,,,,,,,,,,,,
0,20062007,Kladno Jr.,CzRep-Jr.,2,1,0,18,15,18,0.0,1,,,,,,,,,,,,,,,,
0,20062007,Beroun,CzRep-2,3,1,0,6,9,6,0.0,1,,,,,,,,,,,,,,,,
0,20072008,Beroun,CzRep-2,1,5,1,90,43,90,0.0,6,,,,,,,,,,,,,,,,
0,20082009,Kladno Jr.,CzRep-Jr.,1,1,0,0,2,0,0.0,1,,,,,,,,,,,,,,,,
0,20082009,Beroun,CzRep-2,2,6,1,110,32,110,0.0,7,,,,,,,,,,,,,,,,
0,20082009,Kladno,CzRep,3,1,0,10,14,10,0.0,1,,,,,,,,,,,,,,,,
0,20092010,Everett,WHL,1,30,7,151,65,151,,37,3.0,0.0,45.0,,,,,,,,,,,,,
0,20102011,Norfolk,AHL,1,13,4,165,76,165,,17,1.0,0.0,15.0,116.0,3.45,3.0,,,,,,,,,,
0,20112012,Norfolk,AHL,1,13,7,195,73,195,,20,0.0,1.0,19.0,74.0,9.46,1.0,,,,,,,,,,
0,20122013,Tampa Bay Lightning,National Hockey League,1,3,2,38,22,38,0.0,5,0.0,0.0,3.0,31.0,6.45,1.0,373:50,87.0,0.0,03:44,351:43,0.0,0.0,18:23,28.0,488.0
0,20122013,Syracuse,AHL,2,16,4,207,57,207,,20,1.0,0.0,32.0,136.0,2.94,0.0,,,,,,,,,,
0,20132014,Tampa Bay Lightning,National Hockey League,1,19,3,152,73,152,0.0,22,1.0,0.0,2.0,114.0,2.63,1.0,1396:16,273.0,4.0,57:01,1213:25,1.0,0.0,125:50,138.0,1748.0
0,20132014,Czech Republic,Olympics,2,0,0,0,3,0,,0,0.0,0.0,-1.0,3.0,,0.0,,,,,,,,,,
0,20142015,Tampa Bay Lightning,National Hockey League,1,3,2,34,31,34,0.0,5,0.0,0.0,-5.0,63.0,3.17,1.0,527:00,115.0,0.0,02:09,504:01,0.0,0.0,20:50,63.0,668.0
0,20152016,Philadelphia Flyers,National Hockey League,1,9,5,116,76,116,0.0,14,0.0,0.0,-3.0,150.0,3.33,1.0,1508:07,304.0,0.0,11:46,1289:35,0.0,0.0,206:46,157.0,1940.0
0,20162017,Philadelphia Flyers,National Hockey League,1,17,6,93,67,93,0.0,23,0.0,0.0,8.0,113.0,5.31,0.0,1292:35,280.0,1.0,04:34,1160:15,0.0,0.0,127:46,124.0,1739.0
0,20162017,Czechia,WC,17015,1,2,6,8,6,,3,,,-1.0,,,,,,,,,,,,,
0,20162017,Czechia,EHT,68526,0,0,2,2,2,,0,,,0.0,,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,14,2,83,70,83,0.0,16,0.0,0.0,0.0,142.0,1.41,0.0,1197:06,170.0,0.0,03:56,1061:49,0.0,1.0,131:21,123.0,1556.0
0,20172018,Czechia,WC,17015,2,0,4,8,4,,2,,,6.0,,,,,,,,,,,,,
0,20182019,Philadelphia Flyers,National Hockey League,1,16,4,63,77,63,0.0,20,0.0,0.0,6.0,136.0,2.94,0.0,1376:24,255.0,0.0,01:23,1172:55,0.0,0.0,202:06,133.0,1784.0
0,20182019,Czechia,WC,17015,3,1,8,10,8,,4,,,10.0,,,,,,,,,,,,,
0,20182019,Czechia,EHT,68526,0,1,4,2,4,,1,,,0.0,,,,,,,,,,,,,
0,20192020,Washington Capitals,National Hockey League,1,13,2,40,63,40,0.0,15,0.0,0.0,15.0,90.0,2.2,1.0,1053:56,164.0,0.0,03:19,878:21,0.0,0.0,172:16,75.0,1241.0
0,20202021,Florida Panthers,National Hockey League,1,9,2,40,54,40,0.0,11,0.0,0.0,6.0,84.0,2.4,1.0,948:45,250.0,0.0,02:46,839:42,0.0,0.0,106:17,72.0,1283.0
0,20212022,Florida Panthers,National Hockey League,1,13,3,105,77,105,0.0,16,0.0,1.0,27.0,100.0,3.0,0.0,1387:12,355.0,0.0,02:46,1223:40,0.0,1.0,160:46,118.0,1961.0
