,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Malmö Redhawks J18,J18 Allsvenskan,6299,1,0,20,13,20,1,,,,,,,,,,,,,,,,,
0,20102011,Skåne,TV-Pucken,11066,1,3,4,8,4,4,,,,,,,,,,,,,,,,,
0,20112012,Malmo U18,Swe-U18,1,16,6,47,23,47,22,,,,,,,,,,,,,,,,,
0,20112012,Malmo Jr.,Swe-Jr.,2,3,0,6,13,6,3,,,,,,,,,,,,,,,,,
0,20122013,Malmo U18,Swe-U18,1,2,0,0,1,0,2,,,,,,,,,,,,,,,,,
0,20122013,Malmo Jr.,Swe-Jr.,2,1,5,48,8,48,6,,,,,,,,,,,,,,,,,
0,20122013,Malmo,Sweden-2,3,8,3,22,38,22,11,,,,,,,,,,,,,,,,,
0,20132014,Malmo Jr.,Swe-Jr.,1,4,1,12,8,12,5,,,,,,,,,,,,,,,,,
0,20132014,Malmo,Sweden-2,2,10,3,26,53,26,13,,,,,,,,,,,,,,,,,
0,20142015,Barrie,OHL,1,52,12,88,67,88,64,6.0,4.0,0.0,14.0,,,,,,,,,,,,,
0,20142015,Sweden,WJ18-A,3,1,2,14,7,14,3,0.0,0.0,0.0,-2.0,7.0,,,,,,,,,,,,
0,20152016,Barrie,OHL,1,51,9,60,64,60,60,5.0,2.0,0.0,34.0,220.0,4.1,,,,,,,,,,,
0,20152016,Barrie Colts,OHL,9368,51,9,60,64,60,60,,,,34.0,,,,,,,,,,,,,
0,20162017,Calgary Flames,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,-1.0,0.0,0.0,18:33,4.0,0.0,01:52,16:40,0.0,0.0,0.0,00:01,2.0,23.0
0,20162017,Stockton Heat,AHL,186037,19,3,38,54,38,22,,,,13.0,,,,,,,,,,,,,
0,20172018,Calgary Flames,National Hockey League,1,0,0,4,10,4,0,0.0,0.0,0.0,-1.0,8.0,0.0,154:23,2.0,0.0,15:37,136:00,0.0,0.0,0.0,02:46,10.0,207.0
0,20172018,Stockton Heat,AHL,186037,30,9,41,56,41,39,,,,20.0,,,,,,,,,,,,,
0,20182019,Calgary Flames,National Hockey League,1,17,2,23,79,23,19,0.0,0.0,0.0,17.0,115.0,1.74,1267:07,52.0,2.0,79:10,1158:46,0.0,0.0,0.0,29:11,83.0,1639.0
0,20192020,Calgary Flames,National Hockey League,1,17,5,57,70,57,22,0.0,0.0,0.0,-7.0,124.0,4.0,1395:30,51.0,4.0,104:05,1241:26,0.0,0.0,0.0,49:59,83.0,1729.0
0,20202021,Calgary Flames,National Hockey League,1,16,5,34,56,34,21,1.0,0.0,0.0,-9.0,96.0,5.2,1188:33,49.0,6.0,153:25,989:06,0.0,0.0,0.0,46:02,68.0,1591.0
0,20212022,Calgary Flames,National Hockey League,1,46,4,28,82,28,50,2.0,1.0,0.0,30.0,152.0,2.6,1859:19,63.0,19.0,231:33,1472:31,0.0,0.0,1.0,155:15,125.0,2500.0
