,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Titaanit U18,Jr. B Mestis,59882,9,4,16,30,16,13,,,,,,,,,,,,,,,,,
0,20142015,Titaanit U16,Jr. C Suomi-sarja,83416,5,7,2,4,2,12,,,,,,,,,,,,,,,,,
0,20152016,KooKoo U18,U18 SM-sarja,28001,7,12,6,20,6,19,,,,,,,,,,,,,,,,,
0,20152016,KooKoo U16,U16 SM-sarja,89093,2,4,0,8,0,6,,,,,,,,,,,,,,,,,
0,20152016,Finland U16,YOG,118207,1,1,3,6,3,2,-4.0,,,,,,,,,,,,,,,,
0,20162017,Finland U18,WJC-18,17093,3,0,2,7,2,3,1.0,,,,,,,,,,,,,,,,
0,20162017,Kärpät U20,U20 SM-sarja,23090,10,4,6,22,6,14,2.0,,,,,,,,,,,,,,,,
0,20162017,Kärpät U18,U18 SM-sarja,26831,9,8,12,21,12,17,,,,,,,,,,,,,,,,,
0,20162017,Finland U17,WHC-17,61280,1,0,0,5,0,1,,,,,,,,,,,,,,,,,
0,20172018,Kärpät,Liiga,919,8,6,12,39,12,14,4.0,,,,,,,,,,,,,,,,
0,20172018,Hermes,Mestis,4657,3,1,4,5,4,4,-2.0,,,,,,,,,,,,,,,,
0,20172018,Finland U18,WJC-18,17093,1,2,0,4,0,3,-1.0,,,,,,,,,,,,,,,,
0,20172018,Finland U20,WJC-20,17116,0,0,0,5,0,0,-1.0,,,,,,,,,,,,,,,,
0,20172018,Kärpät U20,U20 SM-sarja,23090,4,3,12,11,12,7,7.0,,,,,,,,,,,,,,,,
0,20172018,Finland U18,Hlinka Gretzky Cup,158280,5,2,0,4,0,7,,,,,,,,,,,,,,,,,
0,20182019,Kärpät,Champions HL,542,6,1,2,10,2,7,2.0,,,,,,,,,,,,,,,,
0,20182019,Kärpät,Liiga,919,21,12,65,43,65,33,13.0,,,,,,,,,,,,,,,,
0,20182019,Finland U20,WJC-20,17116,4,1,4,7,4,5,3.0,,,,,,,,,,,,,,,,
0,20192020,Finland U20,WJC-20,17116,0,0,2,1,2,0,0.0,,,,,,,,,,,,,,,,
0,20192020,Ontario Reign,AHL,26957,2,6,9,27,9,8,-8.0,,,,,,,,,,,,,,,,
0,20202021,Los Angeles Kings,National Hockey League,1,0,1,2,7,2,1,-5.0,80:18,8.0,7.0,0.0,0.0,05:39,74:29,53.85,12.5,0.0,0.0,0.0,0.0,00:10,3.0,109.0
0,20202021,Ontario Reign,AHL,26957,15,8,18,32,18,23,4.0,,,,,,,,,,,,,,,,
0,20212022,Los Angeles Kings,National Hockey League,1,8,5,18,57,18,13,-5.0,672:42,51.0,68.0,1.0,3.0,30:04,610:07,42.57,9.8,1.0,0.0,1.0,1.0,32:31,17.0,986.0
0,20212022,Ontario Reign,AHL,26957,3,5,12,15,12,8,2.0,,,,,,,,,,,,,,,,
