,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Proctor Academy,USHS-Prep,57608,20,7,18.0,31,18,0.0,27,,,,,,,,,,,,,,,,
0,20142015,Proctor Academy,USHS-Prep,57608,32,13,38.0,35,38,0.0,45,,,,,,,,,,,,,,,,
0,20152016,U.S. National U17 Team,USDP,19734,3,3,4.0,9,4,,6,,,,,,,,,,,,,,,,
0,20152016,Tri-City Storm,USHL,28026,1,1,0.0,2,0,-1.0,2,,,,,,,,,,,,,,,,
0,20152016,Proctor Academy,USHS-Prep,58322,26,14,,26,,,40,,,,,,,,,,,,,,,,
0,20152016,NV River Rats 16U AAA National,MHSL U16,134983,0,0,0.0,5,0,,0,,,,,,,,,,,,,,,,
0,20152016,Team Kelly,USA-S16,177794,3,0,2.0,5,2,,3,,,,,,,,,,,,,,,,
0,20162017,Chicago Steel,USHL,9906,8,2,12.0,24,12,7.0,10,,,,,,,,,,,,,,,,
0,20162017,Proctor Academy,USHS-Prep,58322,39,30,,30,,,69,,,,,,,,,,,,,,,,
0,20162017,USA U18,Hlinka Gretzky Cup,140070,1,0,4.0,5,4,1.0,1,,,,,,,,,,,,,,,,
0,20162017,Team Columbia,USA-S17,177385,4,0,,5,,,4,,,,,,,,,,,,,,,,
0,20172018,Harvard Univ.,NCAA,13950,13,7,16.0,33,16,-2.0,20,,,,,,,,,,,,,,,,
0,20182019,Harvard Univ.,NCAA,13950,19,12,12.0,33,12,-2.0,31,,,,,,,,,,,,,,,,
0,20192020,Harvard Univ.,NCAA,13950,19,8,8.0,30,8,5.0,27,,,,,,,,,,,,,,,,
0,20202021,Binghamton Devils,AHL,233827,10,5,12.0,33,12,-5.0,15,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,1,0,0.0,1,0,0.0,1,14:23,2.0,0.0,0.0,0.0,00:59,13:24,0.0,0.0,0.0,0.0,0.0,0.0,00:00,2.0,20.0
0,20212022,Utica Comets,AHL,152247,34,9,16.0,70,16,12.0,43,,,,,,,,,,,,,,,,
