,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Toronto Bulldogs,Brick Invitational,128766,1,3,4,5,4,4,,,,,,,,,,,,,,,,,
0,20142015,Mississauga Rebels Bantam AAA,GTBHL,138525,21,25,14,34,14,46,34.0,,,,,,,,,,,,,,,,
0,20152016,Georgetown Raiders,OJHL,21880,1,2,0,4,0,3,,,,,,,,,,,,,,,,,
0,20152016,Mississauga Rebels U16 AAA,GTHL U16,80120,41,34,52,71,52,75,,,,,,,,,,,,,,,,,
0,20152016,Team GTHL Blue,OGC-16,154307,2,0,6,5,6,2,,,,,,,,,,,,,,,,,
0,20162017,Kitchener Rangers,OHL,9418,13,9,29,62,29,22,-15.0,,,,,,,,,,,,,,,,
0,20162017,Canada Red U17,WHC-17,163770,2,1,14,5,14,3,,,,,,,,,,,,,,,,,
0,20172018,Kitchener Rangers,OHL,9418,18,19,38,64,38,37,-4.0,,,,,,,,,,,,,,,,
0,20182019,Kitchener Rangers,OHL,9418,55,30,27,58,27,85,0.0,,,,,,,,,,,,,,,,
0,20182019,Texas Stars,AHL,45177,0,0,0,1,0,0,0.0,,,,,,,,,,,,,,,,
0,20192020,Kitchener Rangers,OHL,9418,50,28,32,61,32,78,21.0,,,,,,,,,,,,,,,,
0,20202021,Texas Stars,AHL,45177,25,11,18,36,18,36,3.0,,,,,,,,,,,,,,,,
0,20212022,Dallas Stars,National Hockey League,1,1,1,2,7,2,2,0.0,59:45,10.0,4.0,0.0,0.0,03:26,56:19,50.0,10.0,0.0,0.0,0.0,0.0,00:00,0.0,90.0
0,20212022,Texas Stars,AHL,45177,23,13,42,55,42,36,-7.0,,,,,,,,,,,,,,,,
