,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,St. Catharines Falc. Mn Mdgt AAA,SCTAMM,88564,42,33,80,46,80,0.0,75,,,,,,,,,,,,,,,,
0,20072008,St. Catharines,OJHL-B,1,39,22,39,45,39,,61,0.0,,,,,,,,,,,,,,,
0,20082009,St. Catharines,OJHL-B,1,46,27,55,40,55,,73,0.0,,,,,,,,,,,,,,,
0,20092010,U. Of Notre Dame,CCHA,1,11,6,22,37,22,,17,,,,,,,,,,,,,,,,
0,20102011,U. of Notre Dame,CCHA,1,17,5,28,40,28,,22,,2.0,1.0,1.0,,,,,,,,,,,,
0,20112012,Detroit Red Wings,National Hockey League,1,0,0,4,1,4,0.0,0,0.0,0.0,0.0,0.0,06:03,3.0,1.0,0.0,00:00,06:03,0.0,0.0,0.0,00:00,1.0,9.0
0,20112012,U. of Notre Dame,CCHA,2,16,9,24,37,24,,25,,5.0,1.0,1.0,,,,,,,,,,,,
0,20112012,Grand Rapids,AHL,3,1,1,0,7,0,-2.0,2,,1.0,0.0,0.0,,6.0,,,,,16.67,,,,,
0,20122013,Detroit Red Wings,National Hockey League,1,0,0,0,1,0,0.0,0,0.0,0.0,0.0,0.0,06:47,1.0,0.0,0.0,00:00,06:47,0.0,0.0,0.0,00:00,0.0,11.0
0,20122013,Grand Rapids,AHL,2,20,16,33,72,33,5.0,36,,6.0,4.0,2.0,,115.0,,,,,13.91,,,,,
0,20132014,Detroit Red Wings,National Hockey League,1,15,9,6,42,6,8.0,24,49.02,2.0,1.0,0.0,606:53,59.0,25.0,5.0,88:46,517:42,15.25,0.0,0.0,00:25,16.0,872.0
0,20132014,Grand Rapids,AHL,2,10,8,12,31,12,-2.0,18,,4.0,1.0,0.0,,51.0,,,,,15.7,,,,,
0,20142015,Detroit Red Wings,National Hockey League,1,23,13,16,79,16,-3.0,36,49.9,5.0,0.0,0.0,1235:45,123.0,21.0,11.0,189:15,1000:17,10.57,0.0,0.0,46:13,20.0,1773.0
0,20152016,Detroit Red Wings,National Hockey League,1,11,14,12,81,12,-8.0,25,45.78,3.0,2.0,1.0,1233:42,128.0,72.0,4.0,94:04,974:19,10.94,0.0,1.0,165:19,40.0,1800.0
0,20162017,Detroit Red Wings,National Hockey League,1,11,2,14,80,14,-29.0,13,50.64,1.0,0.0,0.0,1117:44,109.0,81.0,3.0,89:38,958:17,1.83,0.0,0.0,69:49,38.0,1575.0
0,20172018,Detroit Red Wings,National Hockey League,1,0,0,4,8,4,0.0,0,42.11,0.0,0.0,0.0,72:21,5.0,6.0,0.0,10:58,59:58,0.0,0.0,0.0,01:25,4.0,106.0
0,20172018,Pittsburgh Penguins,National Hockey League,2,21,11,4,73,4,4.0,32,54.44,1.0,1.0,0.0,1115:50,104.0,46.0,2.0,23:23,896:16,10.58,0.0,1.0,196:11,46.0,1629.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,2,7,13,49,13,-7.0,9,49.2,0.0,2.0,1.0,620:10,60.0,50.0,0.0,01:53,514:21,11.67,0.0,2.0,103:56,26.0,940.0
0,20182019,Florida Panthers,National Hockey League,2,8,2,4,33,4,-2.0,10,54.93,0.0,0.0,0.0,483:41,50.0,22.0,0.0,02:17,422:03,4.0,0.0,0.0,59:21,18.0,687.0
0,20192020,Edmonton Oilers,National Hockey League,1,7,8,6,66,6,-13.0,15,49.04,0.0,1.0,1.0,844:20,70.0,26.0,0.0,02:04,687:23,11.4,0.0,2.0,154:53,33.0,1137.0
0,20202021,Buffalo Sabres,National Hockey League,1,9,4,8,53,8,-8.0,13,50.89,0.0,0.0,1.0,705:00,44.0,17.0,0.0,01:42,577:05,9.1,0.0,1.0,126:13,15.0,982.0
0,20212022,Seattle Kraken,National Hockey League,1,13,4,2,69,2,6.0,17,47.05,0.0,0.0,0.0,831:05,69.0,16.0,0.0,02:03,683:41,5.8,0.0,2.0,145:21,28.0,1217.0
0,20212022,Charlotte Checkers,AHL,2357,1,1,0,4,0,0.0,2,,,,,,,,,,,,,,,,
