,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Blaine High,USHS-MN,48802,1,2,4.0,24,4,0.0,3,,,,,,,,,,,,,,,,
0,20132014,Blaine,High-MN,1,18,17,26.0,25,26,,35,,,,,,,,,,,,,,,,
0,20142015,Northeast,UMHSEL,1,9,12,33.0,21,33,,21,,,,,,,,,,,,,,,,
0,20142015,Blaine,High-MN,2,28,23,30.0,24,30,,51,,,,,,,,,,,,,,,,
0,20142015,Fargo,USHL,3,4,1,2.0,7,2,-1.0,5,10.0,0.0,10.0,0.0,0.0,,,,,,,,,,,
0,20142015,USNTDP,U-17,4,1,0,6.0,7,6,,1,,,,,,,,,,,,,,,,
0,20152016,Blaine,High-MN,1,31,47,53.0,25,53,,78,,,,,,,,,,,,,,,,
0,20152016,Fargo,USHL,2,4,10,30.0,27,30,-5.0,14,79.0,6.0,12.7,2.0,0.0,,,,,,,,,,,
0,20152016,Fargo Force,USHL,12786,4,10,30.0,27,30,-5.0,14,,,,,,,,,,,,,,,,
0,20152016,Blaine High,USHS-MN,48818,31,47,53.0,25,53,,78,,,,,,,,,,,,,,,,
0,20152016,USA U18,Hlinka Gretzky Cup,140070,0,0,2.0,4,2,-1.0,0,,,,,,,,,,,,,,,,
0,20152016,Team Red,USA-S17,177545,7,0,4.0,5,4,,7,,,,,,,,,,,,,,,,
0,20152016,B17 - Blue (Final 54),MNHP-17,283065,4,2,,3,,,6,,,,,,,,,,,,,,,,
0,20162017,Univ. of Minnesota-Duluth,NCAA,18500,7,9,26.0,37,26,15.0,16,,,,,,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,3,0,2.0,7,2,1.0,3,,,,,,,,,,,,,,,,
0,20172018,Univ. of Minnesota-Duluth,NCAA,18500,13,16,36.0,42,36,11.0,29,,,,,,,,,,,,,,,,
0,20182019,Univ. of Minnesota-Duluth,NCAA,18500,10,9,30.0,42,30,2.0,19,,,,,,,,,,,,,,,,
0,20192020,Texas Stars,AHL,45177,12,3,42.0,53,42,-2.0,15,,,,,,,,,,,,,,,,
0,20202021,Texas Stars,AHL,45177,6,3,32.0,36,32,-4.0,9,,,,,,,,,,,,,,,,
0,20212022,Dallas Stars,National Hockey League,1,0,1,4.0,10,4,0.0,1,5.0,0.0,20.0,0.0,0.0,71:59,9.0,0.0,00:50,71:09,50.0,0.0,0.0,00:00,4.0,111.0
0,20212022,Texas Stars,AHL,45177,10,10,36.0,54,36,-1.0,20,,,,,,,,,,,,,,,,
