,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Toronto Pro Hockey,Brick Invitational,128756,2,0,2,5,2,2,,,,,,,,,,,,,,,,,
0,20142015,St. Andrew's College,CISAA,58074,0,0,0,1,0,0,0.0,,,,,,,,,,,,,,,,
0,20142015,York Simcoe Express Mn Mdgt AAA,ETAMMHL,97372,27,18,22,34,22,45,0.0,,,,,,,,,,,,,,,,
0,20152016,London Knights,M-Cup,2561,1,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,
0,20152016,London Knights,OHL,2778,12,3,0,40,0,15,-2.0,,,,,,,,,,,,,,,,
0,20152016,Canada White U17,WHC-17,163790,1,0,0,6,0,1,,,,,,,,,,,,,,,,,
0,20152016,Team Blue,U17-Dev,178219,1,0,2,3,2,1,,,,,,,,,,,,,,,,,
0,20162017,London Knights,OHL,2778,50,16,26,66,26,66,41.0,,,,,,,,,,,,,,,,
0,20172018,London Knights,OHL,2778,26,20,18,27,18,46,13.0,,,,,,,,,,,,,,,,
0,20172018,Canada U20,WJC-20,17216,5,1,0,7,0,6,2.0,,,,,,,,,,,,,,,,
0,20172018,Hamilton Bulldogs,M-Cup,186661,1,2,0,4,0,3,-1.0,,,,,,,,,,,,,,,,
0,20172018,Hamilton Bulldogs,OHL,186878,25,4,19,22,19,29,4.0,,,,,,,,,,,,,,,,
0,20182019,St. Louis Blues,National Hockey League,1,24,9,14,70,14,33,-2.0,915:05,80.0,13.0,3.0,7.0,88:51,816:15,44.09,11.25,0.0,0.0,0.0,0.0,09:59,22.0,1181.0
0,20192020,St. Louis Blues,National Hockey League,1,32,10,18,66,18,42,9.0,961:12,87.0,13.0,1.0,7.0,94:07,866:13,42.9,11.5,2.0,0.0,0.0,0.0,00:52,13.0,1175.0
0,20202021,St. Louis Blues,National Hockey League,1,9,3,10,33,10,12,1.0,448:54,22.0,5.0,0.0,0.0,48:17,396:24,42.59,13.6,1.0,0.0,0.0,0.0,04:13,11.0,561.0
0,20212022,St. Louis Blues,National Hockey League,1,57,20,16,72,16,77,17.0,1351:41,115.0,13.0,3.0,14.0,147:12,1089:24,49.87,17.4,6.0,1.0,2.0,3.0,115:05,25.0,1666.0
