,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Sport U16,Jr. C II-divisioona,10157532,2,0,0,8,0,2,,,,,,,,,,,,,,,,,
0,20122013,Sport U16,Jr. C SM-sarja,83382,11,4,16,28,16,15,,,,,,,,,,,,,,,,,
0,20132014,Sport U18,Jr. B Mestis,27052,7,4,8,25,8,11,,,,,,,,,,,,,,,,,
0,20132014,Sport U17,Jr. B2 SM-sarja,168249,2,2,2,3,2,4,,,,,,,,,,,,,,,,,
0,20142015,Sport,Liiga,4236,0,0,0,4,0,0,1.0,,,,,,,,,,,,,,,,
0,20142015,Finland U18,WJC-18,16133,0,0,0,7,0,0,0.0,,,,,,,,,,,,,,,,
0,20142015,Sport U20,Jr. A SM-liiga,26570,16,10,32,45,32,26,-5.0,,,,,,,,,,,,,,,,
0,20142015,Finland U17,WHC-17,60581,0,0,0,6,0,0,,,,,,,,,,,,,,,,,
0,20152016,Hermes,Mestis,4657,0,1,18,7,18,1,-2.0,,,,,,,,,,,,,,,,
0,20152016,Sport,Liiga,4719,0,0,0,16,0,0,-6.0,,,,,,,,,,,,,,,,
0,20152016,Finland U18,WJC-18,17093,0,1,2,7,2,1,0.0,,,,,,,,,,,,,,,,
0,20152016,Sport U20,U20 SM-sarja,27480,7,10,8,27,8,17,5.0,,,,,,,,,,,,,,,,
0,20152016,Finland U18,Hlinka Gretzky Cup,158280,0,2,2,5,2,2,4.0,,,,,,,,,,,,,,,,
0,20162017,Sport,Liiga,4719,15,1,14,54,14,16,0.0,,,,,,,,,,,,,,,,
0,20172018,Hermes,Mestis,4657,0,0,2,2,2,0,-2.0,,,,,,,,,,,,,,,,
0,20172018,Sport,Liiga,4719,5,0,14,43,14,5,-11.0,,,,,,,,,,,,,,,,
0,20172018,Finland U20,WJC-20,17116,0,0,0,5,0,0,0.0,,,,,,,,,,,,,,,,
0,20182019,SaiPa,Liiga,949,12,4,20,57,20,16,-4.0,,,,,,,,,,,,,,,,
0,20192020,SaiPa,Liiga,949,13,8,14,46,14,21,-20.0,,,,,,,,,,,,,,,,
0,20192020,Örebro HK,SHL,1159,5,1,2,12,2,6,3.0,,,,,,,,,,,,,,,,
0,20192020,Finland,EHT,68516,1,0,0,2,0,1,-2.0,,,,,,,,,,,,,,,,
0,20202021,Örebro HK,SHL,1159,24,6,16,51,16,30,17.0,,,,,,,,,,,,,,,,
0,20202021,Finland,EHT,68516,0,0,2,6,2,0,-1.0,,,,,,,,,,,,,,,,
0,20212022,New York Islanders,National Hockey League,1,4,1,4,21,4,5,-6.0,350:31,24.0,7.0,0.0,2.0,31:25,318:10,0.0,4.2,0.0,0.0,0.0,0.0,00:56,23.0,455.0
0,20212022,Bridgeport Islanders,AHL,827,16,4,8,40,8,20,1.0,,,,,,,,,,,,,,,,
