,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Ottawa Jr. 67s U14 AAA,HEO U14,132354,1,0,2.0,4,2,1,
0,20162017,Ottawa Jr. 67s U14 AAA,HEO U14,132354,9,6,26.0,28,26,15,
0,20162017,Ottawa Jr. 67s U15 AAA,HEO U15,132366,0,0,0.0,2,0,0,
0,20172018,Mississauga Rebels U16 AAA,GTHL U16,80120,6,4,24.0,33,24,10,
0,20172018,Oshawa Generals Selects U15,WSI U15,222750,2,2,10.0,6,10,4,
0,20182019,Don Mills Flyers U16 AAA,U16 AAA,93343,53,18,54.0,73,54,71,
0,20182019,Don Mills Flyers U16 AAA,GTHL U16,93540,18,12,18.0,34,18,30,
0,20182019,Team Ontario,CWG,94475,0,1,6.0,5,6,1,
0,20182019,Team Forest,USA-S15,178223,3,0,,4,,3,
0,20192020,U.S. National U17 Team,USDP,19734,10,7,22.0,48,22,17,
0,20192020,USNTDP Juniors,USHL,52486,7,4,12.0,29,12,11,-2.0
0,20192020,USA U17,WHC-17,61270,1,1,0.0,6,0,2,
0,20202021,USA U18,WJC-18,17253,0,0,2.0,5,2,0,0.0
0,20202021,U.S. National U18 Team,USDP,19564,11,3,49.0,45,49,14,11.0
0,20202021,U.S. National U17 Team,USDP,19734,1,0,6.0,3,6,1,
0,20202021,USNTDP Juniors,USHL,52486,5,2,31.0,22,31,7,9.0
0,20212022,Kitchener Rangers,OHL,9418,22,11,41.0,68,41,33,-9.0
