,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Mercer Chiefs 13U AAA,AYHL 13U,222409,42,31,34.0,37,34,73,,,,,,,,,,,,,,,,,
0,20102011,Mercer Chiefs 14U AAA,AYHL 14U,205140,28,19,26.0,30,26,47,,,,,,,,,,,,,,,,,
0,20112012,Mercer Chiefs 16UA,AYHL 15U,204138,5,19,12.0,19,12,24,0.0,,,,,,,,,,,,,,,,
0,20122013,New Jersey Rockets 16U,AYHL 16U,203981,18,22,14.0,22,14,40,0.0,,,,,,,,,,,,,,,,
0,20132014,Taft Rhinos,High-CT,1,18,25,,24,,43,,,,,,,,,,,,,,,,,
0,20142015,Cedar Rapids,USHL,1,15,18,22.0,58,22,33,14.0,99.0,9.0,18.2,1.0,0.0,,,,,,,,,,,
0,20152016,Cedar Rapids,USHL,1,31,35,79.0,55,79,66,32.0,209.0,9.0,16.7,5.0,1.0,,,,,,,,,,,
0,20152016,Cedar Rapids RoughRiders,USHL,8756,31,35,79.0,55,79,66,32.0,,,,,,,,,,,,,,,,
0,20152016,USA U19,WJAC-19,87412,1,4,0.0,5,0,5,,,,,,,,,,,,,,,,,
0,20162017,Univ. of Vermont,NCAA,7660,15,12,22.0,33,22,27,0.0,,,,,,,,,,,,,,,,
0,20172018,Univ. of Vermont,NCAA,7660,7,16,47.0,36,47,23,-11.0,,,,,,,,,,,,,,,,
0,20182019,Syracuse Crunch,AHL,1057,17,14,36.0,66,36,31,9.0,,,,,,,,,,,,,,,,
0,20192020,Syracuse Crunch,AHL,1057,31,11,64.0,62,64,42,-2.0,,,,,,,,,,,,,,,,
0,20202021,Tampa Bay Lightning,National Hockey League,1,3,9,16.0,30,16,12,3.0,46.0,0.0,19.6,4.0,0.0,316:56,36.0,0.0,20:27,296:29,48.56,0.0,0.0,00:00,6.0,441.0
0,20202021,Syracuse Crunch,AHL,1057,2,1,0.0,3,0,3,1.0,,,,,,,,,,,,,,,,
0,20212022,Tampa Bay Lightning,National Hockey League,1,17,22,24.0,79,24,39,4.0,159.0,1.0,13.8,4.0,0.0,1010:37,153.0,5.0,110:06,898:38,52.15,0.0,0.0,01:53,36.0,1385.0
