,season,team,league,sequenceNumber,assists,goals,games,points,timeOnIce,pim,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,plusMinus
0,20042005,Cretin-Derham,High-MN,1,18,12,28,30,,,,,,,,,,,,,,,,,,,
0,20052006,Cretin-Derham,High-MN,1,33,12,25,45,,,,,,,,,,,,,,,,,,,
0,20062007,Cretin-Derham,High-MN,1,26,14,26,40,,,,,,,,,,,,,,,,,,,
0,20062007,United States,WJ18-A,3,3,0,7,3,00:00,4.0,00:00,00:00,4,0.0,00:00,0.0,,,,,,,,,,,
0,20072008,U. Of Wisconsin,WCHA,1,7,5,40,12,,42.0,,,42,,,,,,,,,,,,,,
0,20082009,U. Of Wisconsin,WCHA,1,11,5,36,16,,59.0,,,59,,,,,,,,,,,,,,
0,20082009,United States,WJC-A,3,3,0,6,3,,2.0,,,2,0.0,,,,,,,,,,,,,
0,20092010,U. Of Wisconsin,WCHA,1,14,4,43,18,,73.0,,,73,,,,,,,,,,,,,,
0,20102011,New York Rangers,National Hockey League,1,8,1,40,9,749:35,14.0,04:38,684:27,14,0.0,60:30,975.0,27.0,56.0,0.0,0.0,3.7,1.0,0.0,0.0,2.0,69.0,16.0
0,20102011,U.S.A.,WC-A,3,1,0,7,1,,2.0,,,2,,,,,,0.0,,,0.0,,0.0,,,0.0
0,20102011,Connecticut,AHL,99,7,1,38,8,,12.0,,,12,,,,42.0,,1.0,,2.38,0.0,,0.0,,,1.0
0,20112012,New York Rangers,National Hockey League,1,25,7,82,32,2028:41,44.0,51:22,1726:12,44,50.0,251:07,2319.0,123.0,118.0,0.0,2.0,5.69,1.0,1.0,0.0,0.0,182.0,25.0
0,20122013,New York Rangers,National Hockey League,1,15,4,47,19,1144:50,22.0,29:46,988:15,22,0.0,126:49,1351.0,83.0,69.0,0.0,1.0,4.82,1.0,0.0,0.0,1.0,78.0,13.0
0,20122013,Astana,KHL,99,3,0,10,3,,6.0,,,6,,,,,,,,,,,,,,
0,20132014,New York Rangers,National Hockey League,1,29,14,77,43,1910:53,36.0,221:08,1480:06,36,0.0,209:39,2304.0,177.0,88.0,2.0,13.0,7.91,4.0,1.0,3.0,4.0,131.0,11.0
0,20132014,U.S.A.,Olympics,2,1,1,6,2,,0.0,,,0,,,,9.0,,0.0,,,0.0,,0.0,,,1.0
0,20142015,New York Rangers,National Hockey League,1,25,8,71,33,1642:25,26.0,164:06,1292:31,26,0.0,185:48,2139.0,148.0,77.0,3.0,12.0,5.41,2.0,0.0,0.0,3.0,139.0,23.0
0,20152016,New York Rangers,National Hockey League,1,25,9,73,34,1631:43,22.0,140:03,1299:02,22,100.0,192:38,2115.0,113.0,98.0,2.0,9.0,7.96,0.0,0.0,0.0,1.0,138.0,26.0
0,20162017,New York Rangers,National Hockey League,1,36,6,77,42,1875:30,37.0,238:17,1455:09,37,0.0,182:04,2275.0,153.0,80.0,1.0,15.0,3.92,1.0,0.0,1.0,1.0,160.0,20.0
0,20162017,USA,WCup,17286,0,2,3,2,,0.0,,,0,,,,,,,,,,,,,,-2.0
0,20172018,New York Rangers,National Hockey League,1,24,2,49,26,1171:45,20.0,106:04,912:27,20,0.0,153:14,1462.0,77.0,53.0,1.0,9.0,2.6,0.0,0.0,0.0,0.0,129.0,7.0
0,20172018,Tampa Bay Lightning,National Hockey League,2,1,2,14,3,297:54,0.0,02:32,254:14,0,0.0,41:08,369.0,22.0,18.0,0.0,0.0,9.09,0.0,0.0,0.0,1.0,34.0,1.0
0,20182019,Tampa Bay Lightning,National Hockey League,1,37,9,82,46,1811:14,34.0,54:14,1499:24,34,0.0,257:36,2066.0,128.0,98.0,0.0,3.0,7.03,1.0,0.0,0.0,3.0,161.0,38.0
0,20192020,Tampa Bay Lightning,National Hockey League,1,11,1,50,12,1035:16,19.0,05:31,866:11,19,0.0,163:34,1193.0,50.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,101.0,7.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,8,4,50,12,1094:46,14.0,15:34,936:26,14,0.0,142:46,1300.0,85.0,69.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,96.0,13.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,22,4,71,26,1593:30,16.0,25:44,1336:56,16,0.0,230:50,1821.0,85.0,96.0,0.0,1.0,4.7,0.0,0.0,0.0,0.0,137.0,15.0
