,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Parkland,MMHL,1,10,9,8,39,8,19,,,,,,,,,,,,,,,,,
0,20102011,Brandon,WHL,1,34,8,4,63,4,42,3.0,0.0,2.0,,,,,,,,,,,,,,
0,20112012,Brandon,WHL,1,41,19,20,71,20,60,8.0,0.0,33.0,,,,,,,,,,,,,,
0,20122013,Brandon,WHL,1,31,14,22,61,22,45,7.0,0.0,-7.0,,,,,,,,,,,,,,
0,20132014,Brandon,WHL,1,40,23,18,66,18,63,14.0,0.0,-4.0,,,,,,,,,,,,,,
0,20132014,Bridgeport,AHL,2,1,0,2,3,2,1,0.0,0.0,-1.0,1.0,0.0,0.0,,,,,,,,,,,
0,20142015,Bridgeport,AHL,1,12,17,6,54,6,29,13.0,0.0,-6.0,134.0,12.7,3.0,,,,,,,,,,,
0,20152016,New York Islanders,National Hockey League,1,2,2,5,15,5,4,0.0,0.0,1.0,15.0,13.33,0.0,235:56,13.0,0.0,18:02,212:43,0.0,0.0,0.0,05:11,11.0,299.0
0,20152016,Bridgeport,AHL,2,17,7,12,51,12,24,4.0,0.0,6.0,93.0,7.5,1.0,,,,,,,,,,,
0,20152016,Bridgeport Islanders,AHL,827,17,7,12,51,12,24,,,6.0,,,,,,,,,,,,,,
0,20162017,New York Islanders,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,03:57,1.0,0.0,01:02,02:55,0.0,0.0,0.0,00:00,1.0,5.0
0,20162017,Bridgeport Islanders,AHL,827,31,15,18,55,18,46,,,10.0,,,,,,,,,,,,,,
0,20172018,New York Islanders,National Hockey League,1,22,10,14,68,14,32,5.0,0.0,-4.0,184.0,5.43,0.0,1251:36,113.0,11.0,113:26,1130:44,0.0,0.0,0.0,07:26,86.0,1501.0
0,20172018,Canada,WC,17155,1,0,0,8,0,1,,,5.0,,,,,,,,,,,,,,
0,20182019,New York Islanders,National Hockey League,1,28,9,22,82,22,37,3.0,0.0,21.0,180.0,5.0,3.0,1833:49,143.0,9.0,153:57,1535:01,0.0,1.0,0.0,144:51,148.0,2278.0
0,20192020,New York Islanders,National Hockey League,1,25,10,14,68,14,35,3.0,0.0,8.0,163.0,6.1,3.0,1523:44,110.0,8.0,120:08,1302:12,0.0,1.0,0.0,101:24,139.0,1788.0
0,20202021,New York Islanders,National Hockey League,1,15,2,8,56,8,17,0.0,0.0,15.0,121.0,1.7,1.0,1256:40,97.0,1.0,107:15,1063:14,0.0,1.0,0.0,86:11,106.0,1477.0
0,20212022,New York Islanders,National Hockey League,1,16,5,2,56,2,21,2.0,0.0,0.0,122.0,4.1,0.0,1183:34,86.0,6.0,78:15,1015:46,0.0,0.0,1.0,89:33,130.0,1470.0
