,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedGoals,shortHandedTimeOnIce,shifts,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20012002,Winnipeg Monarchs Bantam AAA,WBAAA,129109,11,10,61,26,61,21,,,,,,,,,,,,,,,,,
0,20032004,St. John's Ravenscourt,CAHS,89505,12,20,82,19,82,32,0.0,,,,,,,,,,,,,,,,
0,20042005,Brandon,WHL,1,9,7,79,64,79,16,-5.0,00:00,1.0,00:00,00:00,0.0,0.0,00:00,0.0,,,,,,,,
0,20052006,Brandon,WHL,1,14,14,91,68,91,28,-3.0,00:00,2.0,00:00,00:00,0.0,0.0,00:00,0.0,,,,,,,,
0,20062007,Brandon,WHL,1,20,15,76,69,76,35,11.0,,1.0,,,,2.0,,,3.0,,,,,,,
0,20072008,Peoria,AHL,1,3,4,46,31,46,7,5.0,,0.0,,,,0.0,,,,,,,,,,
0,20072008,Alaska,ECHL,2,0,2,42,9,42,2,6.0,,0.0,,,,0.0,,,0.0,,,,,,,
0,20082009,Peoria,AHL,1,9,8,130,57,130,17,9.0,,0.0,,,,1.0,,,0.0,,,,,,,
0,20092010,Peoria,AHL,1,7,4,167,76,167,11,-16.0,,0.0,,,,0.0,,,0.0,,,,,,,
0,20102011,St. Louis Blues,National Hockey League,1,2,2,78,28,78,4,-1.0,190:33,0.0,02:15,187:55,0.0,0.0,00:23,301.0,1.0,16.0,86.0,0.0,12.5,0.0,0.0,9.0
0,20102011,Peoria,AHL,2,6,4,146,50,146,10,-3.0,,0.0,,,,0.0,,,1.0,56.0,,,7.14,,,
0,20112012,St. Louis Blues,National Hockey League,1,1,3,124,60,124,4,0.0,391:51,0.0,01:55,389:05,50.0,0.0,00:51,638.0,1.0,32.0,171.0,0.0,9.38,0.0,0.0,7.0
0,20122013,St. Louis Blues,National Hockey League,1,2,4,79,43,79,6,3.0,320:16,0.0,01:10,319:06,100.0,0.0,00:00,490.0,1.0,24.0,135.0,0.0,16.67,0.0,0.0,7.0
0,20122013,Orlando,ECHL,2,3,6,34,13,34,9,-1.0,,2.0,,,,2.0,,,1.0,20.0,,,30.0,,,
0,20132014,St. Louis Blues,National Hockey League,1,6,2,126,63,126,8,-1.0,536:55,0.0,00:55,535:56,75.0,0.0,00:04,783.0,0.0,25.0,211.0,0.0,8.0,0.0,0.0,12.0
0,20142015,St. Louis Blues,National Hockey League,1,6,6,116,81,116,12,-3.0,690:04,0.0,03:07,686:35,0.0,0.0,00:22,1049.0,1.0,55.0,276.0,0.0,10.91,0.0,0.0,14.0
0,20152016,St. Louis Blues,National Hockey League,1,1,3,68,64,68,4,-6.0,513:51,0.0,01:33,512:14,50.0,0.0,00:04,762.0,0.0,31.0,206.0,0.0,9.68,0.0,0.0,10.0
0,20162017,St. Louis Blues,National Hockey League,1,6,7,104,80,104,13,4.0,710:48,0.0,01:49,708:51,0.0,0.0,00:08,1078.0,1.0,58.0,239.0,0.0,12.07,0.0,0.0,26.0
0,20172018,Pittsburgh Penguins,National Hockey League,1,4,4,84,58,84,8,-9.0,391:42,0.0,01:37,390:05,46.67,0.0,00:00,572.0,1.0,34.0,161.0,0.0,11.76,0.0,0.0,19.0
0,20172018,Vegas Golden Knights,National Hockey League,2,2,0,10,21,10,2,2.0,208:22,0.0,01:26,206:48,53.85,0.0,00:08,258.0,0.0,8.0,75.0,0.0,0.0,0.0,0.0,8.0
0,20182019,Vegas Golden Knights,National Hockey League,1,11,9,74,80,74,20,1.0,869:49,3.0,58:17,811:32,42.55,0.0,00:00,1063.0,2.0,95.0,305.0,3.0,9.47,0.0,0.0,24.0
0,20192020,Vegas Golden Knights,National Hockey League,1,7,8,47,71,47,15,-5.0,720:07,0.0,17:15,702:50,46.15,0.0,00:02,970.0,1.0,61.0,316.0,0.0,13.1,0.0,0.0,24.0
0,20202021,Vegas Golden Knights,National Hockey League,1,4,1,27,37,27,5,0.0,367:23,0.0,01:02,365:59,30.77,0.0,00:22,516.0,0.0,26.0,141.0,0.0,3.8,0.0,0.0,15.0
0,20212022,New York Rangers,National Hockey League,1,8,5,43,69,43,13,-13.0,734:47,0.0,05:40,728:56,50.0,0.0,00:11,976.0,0.0,44.0,279.0,0.0,11.4,0.0,0.0,16.0
