,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,West Coast Selects U12,WSI U12,206726,1,2,0,6,0,3,
0,20152016,West Coast Selects U15,WSI U15,170280,2,0,2,6,2,2,
0,20162017,London Nationals,GOJHL,21672,0,2,0,1,0,2,
0,20162017,Team ALLIANCE,OGC-16,154277,0,2,4,5,4,2,
0,20162017,London Jr. Knights U16 AAA,ALLIANCE U16,161324,40,19,10,32,10,59,
0,20172018,Barrie Colts,OHL,9368,30,14,10,64,10,44,15.0
0,20172018,Canada Red U17,WHC-17,163770,4,3,2,6,2,7,
0,20172018,Team Red,U17-Dev,178229,2,1,0,3,0,3,
0,20182019,Barrie Colts,OHL,9368,50,25,14,65,14,75,7.0
0,20182019,Canada U18,WJC-18,17193,1,0,0,5,0,1,-1.0
0,20182019,Canada U18,Hlinka Gretzky Cup,144760,7,1,4,5,4,8,
0,20192020,Barrie Colts,OHL,9368,18,5,16,21,16,23,-9.0
0,20192020,Saginaw Spirit,OHL,9488,22,13,8,23,8,35,16.0
0,20202021,Chicago Wolves,AHL,957,5,5,2,26,2,10,-3.0
0,20202021,Canada U20,WJC-20,17216,2,2,0,7,0,4,6.0
0,20212022,Chicago Wolves,AHL,957,7,7,20,34,20,14,9.0
