,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20072008,Kärpät U16,U16 SM-sarja,81423,7,4,2,11,2,11,
0,20082009,Kärpät U18,U18 SM-sarja,26831,14,8,4,26,4,22,
0,20092010,Kärpät U18,U18 SM-sarja,26831,25,5,12,25,12,30,
0,20102011,Kärpät U20,U20 SM-sarja,23090,29,13,26,39,26,42,7.0
0,20112012,Kärpät U20,U20 SM-sarja,23090,39,23,14,46,14,62,26.0
0,20122013,Hokki,Mestis,11367,16,13,8,38,8,29,11.0
0,20132014,Kärpät,ET,677,0,1,2,8,2,1,
0,20132014,Kärpät,Liiga,919,0,0,2,7,2,0,-1.0
0,20132014,KalPa,Liiga,5849,0,1,4,8,4,1,0.0
0,20132014,Kärpät U20,U20 SM-sarja,23090,7,3,8,9,8,10,10.0
0,20132014,Peliitat,Mestis,31337,5,4,2,10,2,9,0.0
0,20142015,Kärpät,Champions HL,542,2,2,2,9,2,4,0.0
0,20142015,Kärpät,Liiga,919,15,4,8,51,8,19,14.0
0,20142015,Hokki,Mestis,11367,5,2,0,3,0,7,4.0
0,20152016,Kärpät,Liiga,919,4,1,2,10,2,5,2.0
0,20152016,HPK,Liiga,6589,21,10,12,51,12,31,-12.0
0,20162017,HPK,Liiga,6589,24,16,12,57,12,40,24.0
0,20162017,Finland,EHT,68516,1,0,0,8,0,1,-3.0
0,20172018,Örebro HK,SHL,1159,17,11,8,48,8,28,4.0
0,20172018,Finland,OG,16822,1,2,0,5,0,3,3.0
0,20172018,Finland,WC,17055,2,0,10,8,10,2,3.0
0,20172018,Finland,EHT,68516,3,3,0,11,0,6,1.0
0,20182019,Jokerit,KHL,854,28,20,14,62,14,48,15.0
0,20182019,Finland,WC,17055,9,2,6,10,6,11,10.0
0,20182019,Finland,EHT,68516,1,3,2,5,2,4,2.0
0,20192020,Salavat Yulaev Ufa,KHL,2414,21,10,22,56,22,31,-3.0
0,20192020,Finland,EHT,68516,1,2,0,3,0,3,2.0
0,20202021,Salavat Yulaev Ufa,KHL,2414,33,19,10,55,10,52,18.0
0,20212022,Salavat Yulaev Ufa,KHL,2414,13,19,12,38,12,32,3.0
0,20212022,Finland,OG,16822,3,4,0,6,0,7,7.0
0,20212022,Finland,WC,17055,4,6,2,10,2,10,2.0
0,20212022,Finland,EHT,68516,0,3,0,3,0,3,0.0
