,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Kärpät U16,Jr. C SM-sarja Q,10154268,8,4,2,5,2,0.0,12,,,,,,,,,,,,,,,,
0,20102011,Laser U18,Fin-U18,1,38,27,20,26,20,,65,,,,,,,,,,,,,,,,
0,20102011,Karpat U18,Fin-U18,2,0,0,2,1,2,,0,,,,,,,,,,,,,,,,
0,20112012,Karpat U18,Fin-U18,1,35,14,72,41,72,,49,,,,,,,,,,,,,,,,
0,20122013,Karpat Jr.,Fin-Jr.,1,35,23,43,45,43,,58,,,,,,,,,,,,,,,,
0,20132014,Jokipojat,Finland-2,1,6,9,4,15,4,,15,,,,,,,,,,,,,,,,
0,20132014,Finland,WJC-A,2,4,7,0,7,0,9.0,11,23.0,1.0,1.0,0.0,,,,,,,,,,,,
0,20132014,Karpat Jr.,Fin-Jr.,3,3,3,2,5,2,,6,,,,,,,,,,,,,,,,
0,20132014,Karpat,Finland,4,3,4,0,25,0,,7,,,,,,,,,,,,,,,,
0,20142015,Karpat Jr.,Fin-Jr.,1,6,2,2,6,2,,8,,,,,,,,,,,,,,,,
0,20142015,Hokki,Finland-2,2,8,5,6,17,6,,13,,,,,,,,,,,,,,,,
0,20142015,Pelicans,Finland,3,0,1,0,8,0,,1,,,,,,,,,,,,,,,,
0,20142015,Karpat,Finland,4,1,4,2,20,2,,5,,,,,,,,,,,,,,,,
0,20152016,Karpat,Finland,1,10,6,14,46,14,,16,,,,,,,,,,,,,,,,
0,20152016,Kärpät,Champions HL,542,1,2,2,12,2,1.0,3,,,,,,,,,,,,,,,,
0,20152016,Kärpät,Liiga,919,10,6,14,46,14,9.0,16,,,,,,,,,,,,,,,,
0,20162017,Kärpät,Champions HL,542,3,1,4,4,4,4.0,4,,,,,,,,,,,,,,,,
0,20162017,Kärpät,Liiga,919,10,11,6,34,6,6.0,21,,,,,,,,,,,,,,,,
0,20172018,Kärpät,Liiga,919,29,17,26,59,26,20.0,46,,,,,,,,,,,,,,,,
0,20172018,Finland,WC,17055,1,2,8,8,8,1.0,3,,,,,,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,4,4,20,34,20,0.0,8,36.0,0.0,0.0,0.0,320:39,45.0,0.0,03:11,305:36,28.57,11.11,0.0,0.0,11:52,10.0,506.0
0,20182019,Charlotte Checkers,AHL,2357,7,7,8,31,8,-14.0,14,,,,,,,,,,,,,,,,
0,20192020,Jokerit,KHL,854,4,5,8,26,8,-7.0,9,,,,,,,,,,,,,,,,
0,20202021,Jokerit,KHL,854,8,4,48,38,48,5.0,12,,,,,,,,,,,,,,,,
0,20202021,Finland,WC,17055,3,1,0,10,0,5.0,4,,,,,,,,,,,,,,,,
0,20202021,Finland,EHT,68516,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20212022,Kärpät,Liiga,919,28,13,67,47,67,14.0,41,,,,,,,,,,,,,,,,
0,20212022,Finland,OG,16822,1,0,2,6,2,2.0,1,,,,,,,,,,,,,,,,
0,20212022,Finland,WC,17055,0,2,29,9,29,3.0,2,,,,,,,,,,,,,,,,
0,20212022,Finland,EHT,68516,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
