,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Falu IF J18 2,J18 Div.1,84738,0.889,7.95,1
0,20142015,Falu IF,Division 2,3679,0.909,3.17,1
0,20142015,Falu IF J18 2,J18 Div.1,84950,0.934,2.38,9
0,20142015,Falu IF U16,U16 SM,102907,0.842,7.33,3
0,20152016,Brynäs IF J18,J18 Region,7078,0.918,1.86,15
0,20152016,Brynäs IF J18,J18 Nationell,7838,0.922,2.56,7
0,20162017,Brynäs IF J20,J20 Nationell,5789,0.906,2.95,12
0,20162017,Brynäs IF J18,J18 Region,7078,0.94,1.45,13
0,20162017,Brynäs IF J18,J18 Nationell,7838,0.943,1.64,14
0,20172018,Brynäs IF,SHL,819,0.882,3.0,1
0,20172018,Brynäs IF J20,J20 Nationell,5789,0.92,2.53,40
0,20182019,Västerås IK,HockeyAllsvenskan,4310,0.933,1.95,36
0,20182019,Sweden U20,WJC-20,8596,0.922,2.23,4
0,20192020,Brynäs IF,SHL,819,0.895,2.9,35
0,20202021,Brynäs IF,SHL,819,0.911,2.96,42
0,20212022,Lehigh Valley Phantoms,AHL,173347,0.893,2.96,5
