,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Slovakia Selects U13,WSI U13,206657,2,0,2,6,2,2,
0,20152016,HK Dukla Trencin U18,Slovakia U18,32953,2,1,0,4,0,3,5.0
0,20152016,Slovakia Selects U14,WSI U14,206488,1,1,4,6,4,2,
0,20162017,HK Dukla Trencin U18,Slovakia U18,32953,16,7,8,43,8,23,41.0
0,20162017,HK Dukla Trencin U16,Slovakia U16,244171,2,0,0,3,0,2,4.0
0,20172018,Slovakia U18,WJC-18,17353,1,2,0,5,0,3,7.0
0,20172018,HK Dukla Trencin U18,Slovakia U18,32953,18,4,10,24,10,22,33.0
0,20172018,HK Dukla Trencin U20,Slovakia U20,32965,6,4,8,21,8,10,17.0
0,20182019,Slovakia U18,WJC-18,17353,0,0,4,7,4,0,-6.0
0,20182019,TPS U20,U20 SM-sarja,20200,15,2,8,49,8,17,0.0
0,20182019,TPS U18,U18 SM-sarja,25911,1,1,0,5,0,2,
0,20182019,Slovakia U18,Hlinka Gretzky Cup,158310,2,0,4,4,4,2,
0,20192020,Slovakia U20,WJC-20,17376,1,0,4,5,4,1,-8.0
0,20192020,TPS U20,U20 SM-sarja,20200,21,7,6,48,6,28,10.0
0,20192020,Slovakia U18,Hlinka Gretzky Cup,158310,0,0,2,4,2,0,-2.0
0,20202021,Slovakia,WC,17315,0,0,0,8,0,0,-1.0
0,20202021,Slovakia U20,WJC-20,17376,1,0,14,4,14,1,-4.0
0,20202021,TPS U20,U20 SM-sarja,20200,10,5,22,23,22,15,19.0
0,20212022,TPS,Champions HL,592,0,0,2,2,2,0,0.0
0,20212022,TPS,Liiga,969,0,0,0,1,0,0,0.0
0,20212022,Seattle Thunderbirds,WHL,9651,15,5,12,27,12,20,14.0
0,20212022,Slovakia,OG,17072,1,0,2,7,2,1,-1.0
0,20212022,Slovakia,OGQ,17075,0,0,0,3,0,0,0.0
0,20212022,TPS U20,U20 SM-sarja,20200,10,4,4,15,4,14,6.0
