,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20142015,Edina High,USHS-MN,28372,3,3,6.0,25,6,0.0,6
0,20152016,Edina High,USHS-MN,28388,18,19,14.0,25,14,,37
0,20152016,Team TDS Transportation,UMHSEHL,63768,4,10,20.0,21,20,,14
0,20152016,Team Kelly,USA-S16,177794,3,5,0.0,5,0,,8
0,20152016,B16 - Red (Final 54),MNHP-16,283024,1,2,,3,,,3
0,20162017,Lincoln Stars,USHL,9366,0,0,6.0,4,6,-3.0,0
0,20162017,Edina High,USHS-MN,28388,24,22,6.0,25,6,,46
0,20162017,Team TDS Transportation,UMHSEHL,63768,16,9,18.0,20,18,,25
0,20162017,Team Royal,USA-S17,177555,2,2,,5,,,4
0,20172018,Sioux City Musketeers,USHL,9956,7,2,4.0,17,4,-6.0,9
0,20172018,Edina High,USHS-MN,28388,30,28,12.0,25,12,,58
0,20172018,Team TDS Transportation,UMHSEHL,63768,25,16,14.0,20,14,,41
0,20182019,Univ. of Minnesota,NCAA,8320,16,10,16.0,37,16,6.0,26
0,20192020,Univ. of Minnesota,NCAA,8320,19,11,33.0,37,33,-8.0,30
0,20202021,Univ. of Minnesota,NCAA,8320,16,13,12.0,31,12,14.0,29
0,20212022,Univ. of Minnesota,NCAA,8320,13,14,20.0,39,20,14.0,27
