,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Jokerit U16,U16 SM-sarja,80813,0,1,4,11,4,1,,,,,,,,,,,,,,,,,
0,20162017,Jokerit U18,U18 SM-sarja,25961,19,3,63,35,63,22,,,,,,,,,,,,,,,,,
0,20172018,Jokerit U20,JCWC,25240,1,0,4,5,4,1,-3.0,,,,,,,,,,,,,,,,
0,20172018,Jokerit U18,U18 SM-sarja,25961,0,0,2,5,2,0,,,,,,,,,,,,,,,,,
0,20172018,Jokerit U20,U20 SM-sarja,25980,12,4,28,46,28,16,0.0,,,,,,,,,,,,,,,,
0,20172018,Finland U17,WHC-17,61280,1,0,2,5,2,1,,,,,,,,,,,,,,,,,
0,20182019,Finland U18,WJC-18,17093,0,0,2,5,2,0,5.0,,,,,,,,,,,,,,,,
0,20182019,Jokerit U18,U18 SM-sarja,25961,1,0,0,3,0,1,,,,,,,,,,,,,,,,,
0,20182019,Jokerit U20,U20 SM-sarja,25980,9,4,30,43,30,13,8.0,,,,,,,,,,,,,,,,
0,20192020,Ilves,Liiga,889,2,1,14,28,14,3,7.0,,,,,,,,,,,,,,,,
0,20192020,KOOVEE,Mestis,7327,5,2,6,15,6,7,-4.0,,,,,,,,,,,,,,,,
0,20192020,KOOVEE,Suomen Cup,7663,1,0,0,1,0,1,,,,,,,,,,,,,,,,,
0,20192020,Finland U20,WJC-20,17116,1,0,4,7,4,1,1.0,,,,,,,,,,,,,,,,
0,20202021,Ilves,Liiga,889,6,1,34,44,34,7,0.0,,,,,,,,,,,,,,,,
0,20202021,Finland U20,WJC-20,17116,1,1,4,7,4,2,-1.0,,,,,,,,,,,,,,,,
0,20212022,San Jose Sharks,National Hockey League,1,2,0,2,9,2,2,-5.0,113:40,3.0,5.0,0.0,0.0,00:10,111:17,0.0,0.0,0.0,0.0,0.0,0.0,02:13,7.0,179.0
0,20212022,San Jose Barracuda,AHL,187427,9,3,22,41,22,12,-4.0,,,,,,,,,,,,,,,,
