,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Tor. Marlboros,GTHL,1,40,55,109,76,109,95,,,,,,,,,,,,,,,,,
0,20092010,St. Michael's,CCHL,2,0,0,4,2,4,0,0.0,0.0,0.0,-1.0,,,,,,,,,,,,,
0,20102011,Oshawa,OHL,1,11,12,58,63,58,23,2.0,,0.0,5.0,,,,,,,,,,,,,
0,20112012,Oshawa,OHL,1,32,21,101,64,101,53,6.0,,1.0,8.0,,,,,,,,,,,,,
0,20112012,Canada,WJ18-A,2,5,2,4,7,4,7,0.0,1.0,0.0,3.0,,,,,,,,,,,,,
0,20122013,Philadelphia Flyers,National Hockey League,1,0,0,0,5,0,0,0.0,0.0,0.0,0.0,57:35,10.0,10.0,0.0,02:23,54:58,44.19,0.0,0.0,0.0,00:14,1.0,76.0
0,20122013,Oshawa,OHL,2,33,23,72,49,72,56,7.0,,1.0,22.0,,,,,,,,,,,,,
0,20122013,Adirondack,AHL,3,2,1,0,6,0,3,0.0,0.0,1.0,2.0,,14.0,,,,,,7.14,,,,,
0,20132014,Oshawa,OHL,1,47,40,72,54,72,87,13.0,7.0,5.0,12.0,,,,,,,,,,,,,
0,20132014,Canada,WJC-A,2,1,0,6,7,6,1,0.0,0.0,0.0,2.0,,13.0,,,,,,,,,,,
0,20142015,Philadelphia Flyers,National Hockey League,1,4,2,17,31,17,6,0.0,0.0,0.0,-1.0,394:18,51.0,58.0,1.0,10:49,353:43,47.35,3.92,0.0,0.0,29:46,11.0,581.0
0,20142015,Lehigh Valley,AHL,2,13,14,31,39,31,27,6.0,2.0,1.0,-16.0,,88.0,,,,,,15.9,,,,,
0,20152016,Philadelphia Flyers,National Hockey League,1,14,7,34,71,34,21,0.0,0.0,0.0,-2.0,740:48,85.0,86.0,0.0,05:45,684:33,43.81,8.24,0.0,0.0,50:30,29.0,1075.0
0,20162017,Philadelphia Flyers,National Hockey League,1,0,0,0,2,0,0,0.0,0.0,0.0,0.0,20:29,4.0,3.0,0.0,00:00,20:29,55.0,0.0,0.0,0.0,00:00,0.0,33.0
0,20162017,Lehigh Valley Phantoms,AHL,173347,20,19,40,60,40,39,,,,17.0,,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,10,10,42,81,42,20,0.0,0.0,1.0,-10.0,900:43,108.0,126.0,0.0,06:04,809:34,51.99,9.26,0.0,1.0,85:05,27.0,1307.0
0,20182019,Philadelphia Flyers,National Hockey League,1,20,12,53,82,53,32,0.0,1.0,0.0,-11.0,1217:48,130.0,146.0,0.0,12:32,1021:24,54.17,9.23,0.0,2.0,183:52,46.0,1668.0
0,20192020,Philadelphia Flyers,National Hockey League,1,14,13,26,49,26,27,0.0,2.0,0.0,13.0,715:45,74.0,109.0,0.0,05:50,626:23,53.87,17.6,0.0,0.0,83:32,26.0,1016.0
0,20202021,Philadelphia Flyers,National Hockey League,1,11,9,39,53,39,20,0.0,1.0,1.0,13.0,817:17,89.0,141.0,0.0,06:21,711:04,48.96,10.1,1.0,1.0,99:52,34.0,1166.0
0,20212022,Philadelphia Flyers,National Hockey League,1,19,11,35,67,35,30,0.0,1.0,2.0,-9.0,1100:13,110.0,151.0,1.0,40:55,942:49,51.03,10.0,1.0,2.0,116:29,47.0,1592.0
