,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,St.L. AAA Blues,Minor-MO,1,20,10,84,62,84,30,,,,,,,,,,,,,,,,,
0,20092010,Youngstown,USHL,1,12,10,145,59,145,22,4.0,2.0,2.0,-4.0,,,,,,,,,,,,,
0,20102011,Youngstown,USHL,1,9,7,159,52,159,16,3.0,2.0,0.0,-18.0,,,,,,,,,,,,,
0,20112012,U. of Denver,WCHA,1,9,3,76,42,76,12,1.0,1.0,0.0,,,,,,,,,,,,,,
0,20122013,U. of Denver,WCHA,1,13,4,112,39,112,17,2.0,0.0,0.0,,,,,,,,,,,,,,
0,20122013,Bridgeport,AHL,2,0,0,2,6,2,0,0.0,0.0,0.0,1.0,10.0,0.0,,,,,,,,,,,
0,20132014,New York Islanders,National Hockey League,1,0,0,7,5,7,0,0.0,0.0,0.0,-3.0,7.0,0.0,86:50,7.0,0.0,00:10,77:32,0.0,0.0,0.0,09:08,8.0,119.0
0,20132014,Bridgeport,AHL,2,15,3,129,71,129,18,0.0,1.0,0.0,0.0,100.0,3.0,,,,,,,,,,,
0,20142015,Bridgeport,AHL,2,13,1,173,69,173,14,0.0,0.0,0.0,-12.0,89.0,1.1,,,,,,,,,,,
0,20152016,New York Islanders,National Hockey League,1,0,1,11,6,11,1,0.0,0.0,0.0,-4.0,4.0,25.0,102:39,12.0,0.0,03:23,90:52,0.0,0.0,0.0,08:24,15.0,119.0
0,20152016,Bridgeport,AHL,2,7,5,80,54,80,12,0.0,0.0,0.0,9.0,108.0,4.6,,,,,,,,,,,
0,20152016,Bridgeport Islanders,AHL,827,7,5,80,54,80,12,,,,9.0,,,,,,,,,,,,,
0,20162017,New York Islanders,National Hockey League,1,7,2,35,25,35,9,0.0,0.0,0.0,-1.0,39.0,5.13,353:30,37.0,0.0,00:19,352:40,0.0,0.0,0.0,00:31,36.0,430.0
0,20162017,Bridgeport Islanders,AHL,827,3,3,27,23,27,6,,,,0.0,,,,,,,,,,,,,
0,20172018,New York Islanders,National Hockey League,1,10,2,45,47,45,12,0.0,0.0,0.0,-6.0,58.0,3.45,838:42,77.0,0.0,02:08,766:07,0.0,0.0,0.0,70:27,73.0,1015.0
0,20182019,New York Islanders,National Hockey League,1,15,4,68,79,68,19,0.0,0.0,1.0,18.0,104.0,3.85,1480:01,118.0,0.0,02:23,1293:58,0.0,0.0,1.0,183:40,159.0,1888.0
0,20192020,New York Islanders,National Hockey League,1,8,5,53,67,53,13,0.0,1.0,0.0,8.0,98.0,5.1,1336:06,93.0,0.0,03:39,1165:06,0.0,0.0,2.0,167:21,117.0,1658.0
0,20202021,New York Islanders,National Hockey League,1,13,2,38,56,38,15,0.0,0.0,0.0,2.0,79.0,2.5,1090:49,76.0,0.0,03:52,958:20,0.0,0.0,0.0,128:37,108.0,1335.0
0,20212022,New York Islanders,National Hockey League,1,15,3,55,61,55,18,0.0,2.0,0.0,-5.0,80.0,3.8,1205:49,77.0,0.0,03:42,1061:35,0.0,0.0,1.0,140:32,109.0,1482.0
