,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Miss. Rebels,GTHL,1,44,46,48,47,48,90,,,,,,,,,,,,,,,,,
0,20102011,Ottawa,OHL,1,27,20,32,65,32,47,3.0,0.0,24.0,,,,,,,,,,,,,,
0,20112012,Ottawa,OHL,1,45,33,38,62,38,78,10.0,1.0,25.0,,,,,,,,,,,,,,
0,20122013,Ottawa,OHL,1,47,31,24,58,24,78,15.0,1.0,-18.0,,,,,,,,,,,,,,
0,20132014,Calgary Flames,National Hockey League,1,12,22,8,75,8,34,3.0,0.0,-20.0,1198:21,140.0,42.0,7.0,157:22,1022:11,45.95,15.71,2.0,1.0,0.0,18:48,23.0,1695.0
0,20132014,Canada,WC-A,2,2,0,2,7,2,2,0.0,0.0,3.0,,7.0,,,,,,,0.0,,,,,
0,20142015,Calgary Flames,National Hockey League,1,31,31,12,81,12,62,10.0,1.0,8.0,1589:20,191.0,39.0,19.0,229:32,1291:56,49.29,16.23,8.0,3.0,2.0,67:52,42.0,2236.0
0,20152016,Calgary Flames,National Hockey League,1,36,27,18,81,18,63,7.0,0.0,-6.0,1552:46,197.0,38.0,20.0,262:07,1225:38,51.01,13.71,5.0,1.0,0.0,65:01,37.0,2128.0
0,20162017,Calgary Flames,National Hockey League,1,31,27,20,82,20,58,8.0,1.0,-1.0,1441:18,199.0,34.0,17.0,247:59,1152:32,51.45,13.57,4.0,2.0,1.0,40:47,25.0,1835.0
0,20172018,Calgary Flames,National Hockey League,1,33,31,24,74,24,64,9.0,0.0,3.0,1382:28,202.0,35.0,19.0,268:29,1093:29,50.39,15.35,11.0,3.0,0.0,20:30,17.0,1577.0
0,20182019,Calgary Flames,National Hockey League,1,48,34,12,78,12,82,12.0,0.0,7.0,1486:16,211.0,36.0,23.0,256:44,1224:47,51.13,16.11,5.0,0.0,0.0,04:45,24.0,1805.0
0,20192020,Calgary Flames,National Hockey League,1,26,22,25,70,25,48,8.0,0.0,-16.0,1267:07,166.0,65.0,16.0,200:31,1064:33,52.59,13.3,5.0,1.0,0.0,02:03,22.0,1559.0
0,20202021,Calgary Flames,National Hockey League,1,18,10,10,50,10,28,4.0,0.0,-6.0,884:32,98.0,49.0,9.0,158:51,700:44,48.99,10.2,5.0,0.0,0.0,24:57,18.0,1114.0
0,20212022,Calgary Flames,National Hockey League,1,15,8,24,65,24,23,5.0,0.0,-15.0,914:10,111.0,59.0,13.0,147:12,762:02,53.15,7.2,2.0,0.0,0.0,04:56,24.0,1256.0
