,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Sweden Selects U12,WSI U12,206766,1,0,0,6,0,1,
0,20152016,Sweden Selects U13,WSI U13,206617,0,1,0,6,0,1,
0,20152016,Hanhals IF U16 3,U16 Div.2,213945,0,0,0,1,0,0,
0,20162017,Hovås HC J18,J18 Div.2,23481,0,0,0,2,0,0,
0,20162017,Hovås HC U16,U16 Div.1,148054,5,2,2,14,2,7,
0,20162017,Sweden Selects U14,WSI U14,206468,4,3,2,9,2,7,
0,20162017,Hovås HC U16 2,U16 Div.2,228485,0,0,0,6,0,0,
0,20172018,Leksands IF J18,J18 Region,7128,0,0,0,3,0,0,
0,20172018,Dalarna,TV-Pucken,10956,1,0,2,5,2,1,
0,20172018,IF Mölndal Hockey J18,J18 Div.1,15850,8,1,4,7,4,9,
0,20172018,Leksands IF U16,U16 Region,44422,7,1,12,14,12,8,
0,20172018,IF Mölndal Hockey U16,U16 Div.1,148044,5,3,8,4,8,8,
0,20182019,Frölunda HC J18,J18 Region,7198,3,1,2,7,2,4,5.0
0,20182019,Frölunda HC J18,J18 Nationell,7958,0,1,2,8,2,1,1.0
0,20182019,Göteborg,TV-Pucken,10976,7,2,4,6,4,9,
0,20182019,Frölunda HC U16,U16 SM,44007,11,2,8,8,8,13,
0,20182019,Frölunda HC U16,U16 Region,44352,15,8,59,16,59,23,
0,20192020,Frölunda HC J20,J20 Nationell,5919,6,0,10,8,10,6,3.0
0,20192020,Frölunda HC J18,J18 Region,7198,9,1,0,9,0,10,18.0
0,20192020,Frölunda HC J18,J18 Nationell,7958,7,3,10,10,10,10,15.0
0,20192020,Sweden U17,WHC-17,61300,5,0,0,5,0,5,
0,20202021,Frölunda HC,SHL,919,1,0,0,10,0,1,-3.0
0,20202021,Västerås IK,HockeyAllsvenskan,4310,5,0,0,14,0,5,0.0
0,20202021,Frölunda HC J20,J20 Nationell,5919,5,1,10,14,10,6,4.0
0,20202021,Sweden U18,WJC-18,8573,3,1,8,7,8,4,1.0
0,20212022,Frölunda HC,Champions HL,232,4,0,4,10,4,4,4.0
0,20212022,Frölunda HC,SHL,919,17,2,18,44,18,19,13.0
0,20212022,Sweden U20,WJC-20,8596,1,1,2,6,2,2,2.0
