,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Tranås AIF U16,U16 Div.1,71686,14,6,2,17,2,20,
0,20152016,Småland,TV-Pucken,10936,0,0,0,6,0,0,
0,20152016,HV71 U16,U16 SM,66687,1,2,2,7,2,3,
0,20152016,HV71 U16,U16 Region,67032,3,2,2,5,2,5,
0,20152016,HV71 U16 2,U16 Div.1,187944,1,1,0,4,0,2,
0,20162017,HV71 J18,J18 Region,7118,2,2,25,13,25,4,3.0
0,20162017,HV71 J18,J18 Nationell,7878,7,2,2,13,2,9,11.0
0,20162017,Småland,TV-Pucken,10936,8,5,0,6,0,13,
0,20162017,HV71 U16,U16 SM,66687,3,3,0,3,0,6,
0,20162017,HV71 U16,U16 Region,67032,16,14,16,13,16,30,
0,20162017,HV71 U16 2,U16 Div.1,187944,4,2,0,2,0,6,
0,20172018,HV71,SHL,849,0,0,0,1,0,0,0.0
0,20172018,HV71 J20,J20 Nationell,5829,19,11,6,28,6,30,-7.0
0,20172018,HV71 J18,J18 Region,7118,7,1,2,7,2,8,6.0
0,20172018,HV71 J18,J18 Nationell,7878,0,0,0,1,0,0,0.0
0,20182019,HV71,SHL,849,0,0,0,1,0,0,0.0
0,20182019,HV71 J20,J20 Nationell,5829,13,7,10,21,10,20,7.0
0,20182019,HV71 J18,J18 Nationell,7878,3,1,0,3,0,4,4.0
0,20182019,Sweden U18,WJC-18,8573,3,3,0,7,0,6,1.0
0,20192020,Bridgeport Islanders,AHL,827,7,8,6,46,6,15,-15.0
0,20202021,Bridgeport Islanders,AHL,827,3,4,4,24,4,7,-14.0
0,20202021,HC Vita Hästen,HockeyAllsvenskan,4450,1,1,2,11,2,2,1.0
0,20202021,Sweden U20,WJC-20,8596,5,0,2,5,2,5,2.0
0,20212022,Bridgeport Islanders,AHL,827,31,12,8,68,8,43,3.0
