,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,CAC Canadians Bantam AAA,AMBHL,56338,0,1,0,2,0,1,,,,,,,,,,,,,,,,,
0,20072008,CAC Canadians Bantam AA 2,EMHA,10119125,33,20,30,32,30,53,,,,,,,,,,,,,,,,,
0,20082009,CAC Canadians Bantam AAA,AMBHL,56338,15,11,18,33,18,26,,,,,,,,,,,,,,,,,
0,20092010,CAC Canadians Midget AA,NAMHL,84284,1,0,0,2,0,1,,,,,,,,,,,,,,,,,
0,20092010,CAC Canadians Minor Midget AAA,AMMHL,106644,26,17,41,30,41,43,,,,,,,,,,,,,,,,,
0,20102011,CAC Canadians Mdgt AAA,AMHL,33207,21,6,30,34,30,27,,,,,,,,,,,,,,,,,
0,20112012,CAC Canadians Mdgt AAA,AMHL,33207,15,10,34,34,34,25,,,,,,,,,,,,,,,,,
0,20122013,Bonnyville Pontiacs,AJHL,20841,17,13,59,55,59,30,,,,,,,,,,,,,,,,,
0,20132014,Bonnyville Pontiacs,AJHL,20841,27,40,67,60,67,67,,,,,,,,,,,,,,,,,
0,20142015,Union College,NCAA,13730,14,11,24,39,24,25,9.0,,,,,,,,,,,,,,,,
0,20152016,Union College,NCAA,14220,13,12,14,36,14,25,1.0,,,,,,,,,,,,,,,,
0,20162017,Union College,NCAA,14220,36,26,24,38,24,62,29.0,,,,,,,,,,,,,,,,
0,20172018,Calgary Flames,National Hockey League,1,0,2,0,4,0,2,1.0,63:25,16.0,6.0,0.0,0.0,08:25,55:00,100.0,12.5,0.0,0.0,0.0,0.0,00:00,3.0,73.0
0,20172018,Stockton Heat,AHL,186037,19,20,41,62,41,39,6.0,,,,,,,,,,,,,,,,
0,20182019,Stockton Heat,AHL,186037,21,17,36,67,36,38,-19.0,,,,,,,,,,,,,,,,
0,20192020,Kunlun Red Star,KHL,222584,17,8,18,58,18,25,-3.0,,,,,,,,,,,,,,,,
0,20202021,Kunlun Red Star,KHL,222584,9,9,36,48,36,18,-11.0,,,,,,,,,,,,,,,,
0,20212022,China,WC D2A,45811,7,3,0,4,0,10,11.0,,,,,,,,,,,,,,,,
0,20212022,China,OG,146672,0,0,4,4,4,0,-2.0,,,,,,,,,,,,,,,,
0,20212022,Kunlun Red Star,KHL,222584,19,14,18,48,18,33,-21.0,,,,,,,,,,,,,,,,
