,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus
0,20112012,Fredericton,NBPEI,1,25,16,4,34,4,41,,,,,,
0,20122013,Saint John,QMJHL,1,4,2,14,42,14,6,24.0,2.0,8.3,0.0,0.0,-14.0
0,20132014,Saint John,QMJHL,1,23,12,42,66,42,35,106.0,4.0,11.3,0.0,1.0,0.0
0,20142015,Saint John,QMJHL,1,33,23,73,66,73,56,142.0,4.0,16.2,3.0,4.0,17.0
0,20152016,Saint John,QMJHL,1,28,19,59,59,59,47,,7.0,,4.0,3.0,8.0
0,20152016,Saint John Sea Dogs,QMJHL,21410,28,19,59,59,59,47,,,,,,8.0
0,20162017,Saint John Sea Dogs,M-Cup,21151,2,2,2,4,2,4,,,,,,2.0
0,20162017,Saint John Sea Dogs,QMJHL,21410,49,30,35,60,35,79,,,,,,27.0
0,20172018,Florida Everblades,ECHL,2565,11,2,11,14,11,13,,,,,,9.0
0,20182019,Charlotte Checkers,AHL,2357,6,0,12,12,12,6,,,,,,2.0
0,20192020,Charlotte Checkers,AHL,2357,10,3,24,47,24,13,,,,,,4.0
0,20192020,Greenville Swamp Rabbits,ECHL,73215,1,1,2,3,2,2,,,,,,2.0
0,20202021,Chicago Wolves,AHL,957,2,0,2,6,2,2,,,,,,0.0
0,20202021,Fort Wayne Komets,ECHL,6335,6,6,2,8,2,12,,,,,,8.0
0,20212022,Chicago Wolves,AHL,957,17,10,64,65,64,27,,,,,,27.0
