,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20032004,Warroad High,USHS-MN,70882,42,43,12,31,12,0.0,85,,,,,,,,,,,,,,,,
0,20042005,Warroad,High-MN,1,62,37,22,31,22,,99,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20042005,Sioux Falls,USHL,2,2,3,6,11,6,-2.0,5,00:00,00:00,00:00,0.0,00:00,0.0,0.0,1.0,0.0,,,,,,,
0,20052006,North Dakota,WCHA,1,21,24,33,44,33,,45,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,United States,WJC-A,3,0,1,10,7,10,,1,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,North Dakota,WCHA,1,35,17,30,43,30,,52,,,,,,,,,,,,,,,,
0,20072008,North Dakota,WCHA,1,27,18,57,42,57,,45,,,,,,,,,,,,,,,,
0,20082009,St. Louis Blues,National Hockey League,1,25,14,30,57,30,16.0,39,945:10,138:39,683:53,43.12,122:38,1332.0,6.0,1.0,1.0,101.0,66.0,13.0,13.86,0.0,4.0,21.0
0,20082009,United States,WC-A,2,2,1,2,9,2,,3,,,,0.0,,,,,,,,,,,,
0,20092010,St. Louis Blues,National Hockey League,1,30,18,36,76,36,-1.0,48,1392:13,191:01,1020:38,41.83,180:34,1939.0,1.0,3.0,1.0,158.0,149.0,15.0,11.39,0.0,1.0,65.0
0,20092010,U.S.A.,WC-A,5,2,4,2,6,2,,6,,,,0.0,,,,,,,,,,,,
0,20102011,St. Louis Blues,National Hockey League,1,22,12,15,49,15,10.0,34,940:15,126:45,720:49,44.05,92:41,1244.0,3.0,3.0,1.0,103.0,71.0,9.0,11.65,0.0,1.0,40.0
0,20112012,St. Louis Blues,National Hockey League,1,35,19,50,80,50,15.0,54,1562:21,198:38,1219:02,45.28,144:41,2265.0,3.0,3.0,1.0,188.0,130.0,16.0,10.11,0.0,2.0,45.0
0,20122013,St. Louis Blues,National Hockey League,1,13,7,15,30,15,-5.0,20,572:48,74:48,448:52,38.46,49:08,834.0,2.0,1.0,1.0,65.0,33.0,10.0,10.77,0.0,2.0,24.0
0,20122013,U.S.A.,WC-A,2,0,1,2,4,2,-1.0,1,,,,,,,0.0,0.0,0.0,,,,,,,
0,20132014,St. Louis Blues,National Hockey League,1,39,21,42,79,42,19.0,60,1499:45,215:04,1145:08,42.42,139:33,2031.0,5.0,5.0,2.0,152.0,77.0,15.0,13.82,1.0,3.0,54.0
0,20132014,U.S.A.,Olympics,2,3,1,4,6,4,0.0,4,,,,,,,0.0,1.0,0.0,7.0,,,,,,
0,20142015,St. Louis Blues,National Hockey League,1,36,19,51,72,51,17.0,55,1356:02,169:53,1090:52,23.08,95:17,1959.0,3.0,4.0,0.0,162.0,99.0,13.0,11.73,1.0,0.0,39.0
0,20152016,Washington Capitals,National Hockey League,1,25,26,34,80,34,16.0,51,1517:04,242:25,1160:40,52.67,113:59,1858.0,11.0,5.0,0.0,185.0,134.0,17.0,14.05,0.0,0.0,62.0
0,20162017,Washington Capitals,National Hockey League,1,23,33,36,68,36,28.0,56,1214:08,197:15,949:31,48.33,67:22,1490.0,7.0,4.0,1.0,143.0,95.0,13.0,23.08,1.0,3.0,50.0
0,20162017,USA,WCup,17286,0,1,0,3,0,-2.0,1,,,,,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,29,18,31,74,31,2.0,47,1362:27,249:05,1055:15,47.87,58:07,1541.0,9.0,3.0,0.0,127.0,124.0,18.0,14.17,0.0,0.0,54.0
0,20182019,Washington Capitals,National Hockey League,1,29,25,36,69,36,5.0,54,1284:10,231:33,1012:17,40.98,40:20,1422.0,6.0,4.0,1.0,143.0,133.0,14.0,17.48,0.0,1.0,55.0
0,20192020,Washington Capitals,National Hockey League,1,23,26,26,69,26,4.0,49,1262:20,247:09,1004:58,50.0,10:13,1369.0,10.0,4.0,0.0,133.0,90.0,12.0,19.5,1.0,0.0,58.0
0,20202021,Washington Capitals,National Hockey League,1,21,22,18,53,18,-3.0,43,957:23,163:17,767:08,47.93,26:58,1134.0,13.0,1.0,0.0,106.0,70.0,17.0,20.8,0.0,0.0,27.0
0,20212022,Washington Capitals,National Hockey League,1,14,11,18,44,18,-12.0,25,767:47,153:19,599:58,42.6,14:30,894.0,4.0,1.0,0.0,77.0,86.0,10.0,14.3,0.0,1.0,30.0
