,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20052006,Chatham-Kent Cyclones M Mdgt AAA,AHMMPL,64308,10,8,22,31,22,0.0,18,,,,,,,,,,,,,,,,
0,20062007,Leamington,OJHL-B,1,38,8,104,43,104,,46,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Saginaw,OHL,2,4,0,23,20,23,,4,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Saginaw,OHL,1,26,4,73,68,73,,30,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Saginaw,OHL,1,38,12,67,63,67,8.0,50,,,,,,,7.0,1.0,,,,,,,,
0,20092010,Saginaw,OHL,1,19,4,20,19,20,15.0,23,,,,,,,3.0,0.0,,,,,,,,
0,20092010,Barrie,OHL,2,30,3,38,46,38,18.0,33,,,,,,,0.0,1.0,,,,,,,,
0,20102011,Calgary Flames,National Hockey League,1,0,0,2,3,2,-3.0,0,48:01,09:52,37:16,0.0,00:53,63.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
0,20102011,Abbotsford,AHL,2,29,5,32,68,32,3.0,34,,,,,,,2.0,0.0,123.0,,,4.07,0.0,,,
0,20112012,Calgary Flames,National Hockey League,1,12,2,14,54,14,3.0,14,889:52,93:59,793:30,0.0,02:23,1125.0,1.0,0.0,44.0,43.0,6.0,4.55,2.0,0.0,0.0,38.0
0,20112012,Abbotsford,AHL,2,2,1,10,12,10,4.0,3,,,,,,,0.0,0.0,22.0,,,4.55,0.0,,,
0,20122013,Calgary Flames,National Hockey League,1,12,2,8,47,8,-9.0,14,950:11,94:57,827:06,0.0,28:08,1220.0,0.0,0.0,44.0,24.0,6.0,4.55,0.0,0.0,0.0,74.0
0,20122013,Canada,WC-A,2,1,0,0,7,0,1.0,1,,,,,,,0.0,0.0,,,,,0.0,,,
0,20122013,Abbotsford,AHL,3,19,1,22,35,22,5.0,20,,,,,,,0.0,0.0,41.0,,,2.44,0.0,,,
0,20132014,Calgary Flames,National Hockey League,1,27,4,20,81,20,0.0,31,1949:06,143:57,1645:52,0.0,159:17,2550.0,1.0,0.0,104.0,58.0,7.0,3.85,2.0,1.0,2.0,130.0
0,20142015,Calgary Flames,National Hockey League,1,30,11,30,81,30,15.0,41,2041:50,177:36,1697:36,0.0,166:38,2601.0,3.0,1.0,133.0,27.0,9.0,8.27,3.0,1.0,3.0,178.0
0,20152016,Calgary Flames,National Hockey League,1,39,6,18,70,18,4.0,45,1768:14,162:44,1423:42,0.0,181:48,2107.0,2.0,0.0,79.0,15.0,9.0,7.59,1.0,1.0,2.0,104.0
0,20162017,Calgary Flames,National Hockey League,1,30,6,24,82,24,-16.0,36,1933:39,227:03,1515:15,0.0,191:21,2379.0,1.0,1.0,78.0,30.0,12.0,7.69,2.0,1.0,2.0,115.0
0,20172018,Calgary Flames,National Hockey League,1,28,4,18,73,18,-16.0,32,1728:39,184:07,1391:50,0.0,152:42,1991.0,1.0,0.0,118.0,24.0,11.0,3.39,0.0,0.0,0.0,99.0
0,20182019,Calgary Flames,National Hockey League,1,25,9,24,79,24,29.0,34,1696:13,77:08,1465:44,0.0,153:21,2084.0,1.0,1.0,102.0,21.0,4.0,8.82,1.0,1.0,1.0,86.0
0,20192020,Calgary Flames,National Hockey League,1,15,4,36,64,36,7.0,19,1309:19,39:47,1163:37,0.0,105:55,1672.0,0.0,0.0,65.0,20.0,1.0,6.2,1.0,1.0,0.0,87.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,13,1,12,56,12,23.0,14,1207:13,38:50,1071:17,0.0,97:06,1464.0,0.0,0.0,48.0,34.0,3.0,2.1,0.0,0.0,0.0,84.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,24,4,34,82,34,20.0,28,1747:32,14:32,1546:14,0.0,186:46,2188.0,0.0,0.0,68.0,53.0,1.0,5.9,0.0,0.0,2.0,106.0
