,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Tor. Marlboros,GTHL,1,27,25,28,31,28,52,,,,,,,,,,,,,,,,,
0,20142015,Erie,OHL,1,6,21,13,58,13,27,1.0,5.0,0.0,-8.0,,,,,,,,,,,,,
0,20152016,Erie,OHL,1,49,24,18,67,18,73,11.0,5.0,0.0,19.0,226.0,10.6,,,,,,,,,,,
0,20152016,Erie Otters,OHL,9398,49,24,18,67,18,73,,,,19.0,,,,,,,,,,,,,
0,20162017,Erie Otters,M-Cup,9181,6,5,0,5,0,11,,,,2.0,,,,,,,,,,,,,
0,20162017,Erie Otters,OHL,9398,67,42,37,58,37,109,,,,67.0,,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,1,5,4,7,4,6,,,,3.0,,,,,,,,,,,,,
0,20172018,Soo Greyhounds,OHL,6918,21,18,14,28,14,39,,,,14.0,,,,,,,,,,,,,
0,20172018,Erie Otters,OHL,9398,29,15,16,30,16,44,,,,10.0,,,,,,,,,,,,,
0,20172018,Canada U20,WJC-20,17216,3,2,4,7,4,5,,,,5.0,,,,,,,,,,,,,
0,20182019,Syracuse Crunch,AHL,1057,28,18,34,70,34,46,,,,14.0,,,,,,,,,,,,,
0,20192020,Syracuse Crunch,AHL,1057,16,19,20,62,20,35,,,,-13.0,,,,,,,,,,,,,
0,20202021,Syracuse Crunch,AHL,1057,17,12,10,27,10,29,,,,2.0,,,,,,,,,,,,,
0,20212022,Tampa Bay Lightning,National Hockey League,1,7,5,8,53,8,12,0.0,1.0,1.0,5.0,61.0,8.2,585:53,62.0,1.0,27:48,523:41,40.0,0.0,1.0,34:24,17.0,838.0
0,20212022,Chicago Blackhawks,National Hockey League,2,4,6,2,21,2,10,3.0,0.0,0.0,-4.0,43.0,14.0,326:58,41.0,3.0,66:49,259:21,0.0,0.0,0.0,00:48,4.0,404.0
