,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Shattuck Midget,High-MN,1,40,20,84,53,84,60,,,,,,,,,,,,,,,,,
0,20102011,Shattuck Midget,High-MN,1,42,24,32,54,32,66,,,,,,,,,,,,,,,,,
0,20112012,Shattuck,High-MN,1,64,24,63,51,63,88,,,,,,,,,,,,,,,,,
0,20122013,Minnesota State,WCHA,1,13,6,40,37,40,19,1.0,2.0,0.0,,,,,,,,,,,,,,
0,20132014,Minnesota State,WCHA,1,22,4,55,40,55,26,2.0,1.0,0.0,,,,,,,,,,,,,,
0,20142015,Minnesota State,WCHA,1,18,10,26,37,26,28,4.0,3.0,1.0,,,,,,,,,,,,,,
0,20152016,Minnesota State,WCHA,1,24,11,29,41,29,35,3.0,7.0,1.0,106.0,10.4,10.0,,,,,,,,,,,
0,20152016,Wilkes-Barre,AHL,2,0,0,2,10,2,0,0.0,0.0,0.0,12.0,0.0,-2.0,,,,,,,,,,,
0,20152016,Wilkes-Barre/Scranton Penguins,AHL,1077,0,0,2,10,2,0,,,,,,-2.0,,,,,,,,,,,
0,20152016,Minnesota State Univ. (Mankato),NCAA,15760,24,11,29,41,29,35,,,,,,10.0,,,,,,,,,,,
0,20162017,Wilkes-Barre/Scranton Penguins,AHL,1077,24,7,20,54,20,31,,,,,,24.0,,,,,,,,,,,
0,20162017,Latvia,WC,17425,0,1,6,7,6,1,,,,,,-1.0,,,,,,,,,,,
0,20172018,Wilkes-Barre/Scranton Penguins,AHL,1077,24,21,43,70,43,45,,,,,,16.0,,,,,,,,,,,
0,20172018,Latvia,WC,17425,2,1,0,5,0,3,,,,,,1.0,,,,,,,,,,,
0,20182019,Pittsburgh Penguins,National Hockey League,1,4,6,15,28,15,10,0.0,1.0,1.0,33.0,18.18,7.0,309:36,52.0,0.0,00:33,273:14,44.57,0.0,3.0,35:49,14.0,454.0
0,20182019,Wilkes-Barre/Scranton Penguins,AHL,1077,18,21,18,45,18,39,,,,,,20.0,,,,,,,,,,,
0,20182019,Latvia,WC,17425,3,1,6,7,6,4,,,,,,-5.0,,,,,,,,,,,
0,20192020,Pittsburgh Penguins,National Hockey League,1,13,9,25,69,25,22,0.0,2.0,0.0,102.0,8.8,2.0,1091:00,83.0,0.0,07:46,918:48,45.17,0.0,2.0,164:26,35.0,1597.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,15,7,16,43,16,22,0.0,1.0,3.0,49.0,14.3,10.0,638:33,53.0,0.0,02:47,543:07,48.67,0.0,3.0,92:39,25.0,939.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,19,9,10,65,10,28,0.0,0.0,1.0,93.0,9.7,12.0,976:10,87.0,0.0,05:15,825:02,53.13,0.0,2.0,145:53,32.0,1321.0
0,20212022,Latvia,OGQ,17175,2,2,2,3,2,4,,,,,,2.0,,,,,,,,,,,
