,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Lanaudière Pionniers Bntm AAA R,QBAA,151881,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20152016,Laurentides Conquérants M15 AAA,QM15AAA,154177,18,15,14,32,14,33,,,,,,,,,,,,,,,,,
0,20162017,Collège Esther-Blondin Phénix,QM18AAA,86554,26,12,28,40,28,38,2.0,,,,,,,,,,,,,,,,
0,20162017,Hockey Concepts U15,WSI U15,225430,0,1,2,5,2,1,,,,,,,,,,,,,,,,,
0,20172018,Collège Esther-Blondin Phénix,QM18AAA,86554,38,26,22,38,22,64,20.0,,,,,,,,,,,,,,,,
0,20182019,U.S. National U17 Team,USDP,19734,23,16,46,56,46,39,-26.0,,,,,,,,,,,,,,,,
0,20182019,USNTDP Juniors,USHL,52486,12,10,28,34,28,22,-24.0,,,,,,,,,,,,,,,,
0,20182019,USA U17,WHC-17,61270,4,0,2,5,2,4,,,,,,,,,,,,,,,,,
0,20192020,U.S. National U18 Team,USDP,19564,30,16,16,47,16,46,17.0,,,,,,,,,,,,,,,,
0,20192020,USNTDP Juniors,USHL,52486,11,7,8,19,8,18,0.0,,,,,,,,,,,,,,,,
0,20202021,Univ. of Michigan,NCAA,8590,22,8,12,24,12,30,18.0,,,,,,,,,,,,,,,,
0,20212022,San Jose Sharks,National Hockey League,1,5,0,0,8,0,5,-1.0,124:43,13.0,3.0,0.0,1.0,13:18,111:25,44.94,0.0,0.0,0.0,0.0,0.0,00:00,4.0,152.0
0,20212022,Univ. of Michigan,NCAA,8590,25,12,35,37,35,37,18.0,,,,,,,,,,,,,,,,
0,20212022,USA,WC,17215,0,2,2,8,2,2,1.0,,,,,,,,,,,,,,,,
0,20212022,USA U20,WJC-20,17276,7,1,2,5,2,8,1.0,,,,,,,,,,,,,,,,
0,20212022,San Jose Barracuda,AHL,187427,3,0,0,2,0,3,-1.0,,,,,,,,,,,,,,,,
