,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Beauce-Amiante Élites Bantam AA,LHDAAQ,153559,6,2,0,19,0,0.0,8,,,,,,,,,,,,,,,,
0,20112012,Beauce-Amiante Élites Bantam AA,LHDAAQ,153559,8,5,36,18,36,0.0,13,,,,,,,,,,,,,,,,
0,20122013,Levis,QAAA,1,20,6,22,41,22,,26,,,,,,,,,,,,,,,,
0,20132014,Saint John,QMJHL,1,21,1,36,55,36,-29.0,22,73.0,1.0,1.4,0.0,0.0,,,,,,,,,,,
0,20142015,Saint John,QMJHL,1,29,12,62,66,62,6.0,41,118.0,3.0,10.2,1.0,0.0,,,,,,,,,,,
0,20152016,Saint John,QMJHL,1,34,11,79,47,79,27.0,45,,5.0,,2.0,1.0,,,,,,,,,,,
0,20152016,Canada,WJC-A,2,3,0,4,5,4,0.0,3,8.0,0.0,,0.0,0.0,,,,,,,,,,,
0,20152016,Canada U20,WJC-20,17216,3,0,4,5,4,0.0,3,,,,,,,,,,,,,,,,
0,20152016,Saint John Sea Dogs,QMJHL,21410,34,11,79,47,79,27.0,45,,,,,,,,,,,,,,,,
0,20162017,Ottawa Senators,National Hockey League,1,0,0,0,1,0,-2.0,0,1.0,0.0,0.0,0.0,0.0,07:09,1.0,0.0,00:00,07:09,0.0,0.0,0.0,00:00,0.0,13.0
0,20162017,Canada U20,WJC-20,17216,6,4,8,7,8,4.0,10,,,,,,,,,,,,,,,,
0,20162017,Saint John Sea Dogs,M-Cup,21151,2,2,14,4,14,4.0,4,,,,,,,,,,,,,,,,
0,20162017,Saint John Sea Dogs,QMJHL,21410,35,10,43,34,43,29.0,45,,,,,,,,,,,,,,,,
0,20172018,Ottawa Senators,National Hockey League,1,16,9,14,63,14,-12.0,25,94.0,0.0,9.57,0.0,0.0,1103:11,44.0,8.0,118:13,975:25,0.0,0.0,0.0,09:33,64.0,1441.0
0,20172018,Canada,WC,17155,1,0,0,6,0,3.0,1,,,,,,,,,,,,,,,,
0,20172018,Belleville Senators,AHL,227817,5,2,8,13,8,-10.0,7,,,,,,,,,,,,,,,,
0,20182019,Ottawa Senators,National Hockey League,1,41,14,32,70,32,-12.0,55,185.0,1.0,7.57,2.0,1.0,1700:13,71.0,16.0,205:41,1452:51,0.0,1.0,1.0,41:41,112.0,1936.0
0,20182019,Canada,WC,17155,5,2,8,10,8,7.0,7,,,,,,,,,,,,,,,,
0,20192020,Ottawa Senators,National Hockey League,1,33,6,42,71,42,-18.0,39,186.0,0.0,3.2,0.0,0.0,1846:16,79.0,11.0,231:17,1597:41,0.0,0.0,0.0,17:18,85.0,1935.0
0,20202021,Ottawa Senators,National Hockey League,1,25,6,36,49,36,-15.0,31,120.0,1.0,5.0,1.0,0.0,1287:55,68.0,7.0,167:54,1107:45,0.0,0.0,0.0,12:16,72.0,1307.0
0,20212022,Ottawa Senators,National Hockey League,1,31,7,26,59,26,-3.0,38,173.0,1.0,4.0,1.0,0.0,1545:20,73.0,13.0,205:11,1330:11,0.0,0.0,0.0,09:58,93.0,1555.0
0,20212022,Canada,WC,17155,4,0,6,10,6,0.0,4,,,,,,,,,,,,,,,,
