,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Pro Hockey Selects U15,WSI U15,206260,0,0,0,6,0,0,,,,,,,,,,,,,,,,,
0,20162017,Vaughan Kings U16 AAA,GTHL U16,97720,19,5,12,33,12,24,,,,,,,,,,,,,,,,,
0,20162017,Team GTHL Red,OGC-16,154287,1,0,2,5,2,1,,,,,,,,,,,,,,,,,
0,20162017,Team Columbia,USA-S15,225063,0,0,0,3,0,0,,,,,,,,,,,,,,,,,
0,20172018,Mississauga Steelheads,OHL,126668,14,1,14,62,14,15,-1.0,,,,,,,,,,,,,,,,
0,20172018,Canada Black U17,WHC-17,163780,0,0,0,5,0,0,,,,,,,,,,,,,,,,,
0,20172018,Team Black,U17-Dev,178209,1,0,0,3,0,1,,,,,,,,,,,,,,,,,
0,20182019,Canada U18,WJC-18,17193,3,1,8,7,8,4,2.0,,,,,,,,,,,,,,,,
0,20182019,Mississauga Steelheads,OHL,126668,47,11,24,68,24,58,-15.0,,,,,,,,,,,,,,,,
0,20192020,Mississauga Steelheads,OHL,126668,39,18,33,59,33,57,8.0,,,,,,,,,,,,,,,,
0,20202021,Canada U20,WJC-20,17216,0,1,0,7,0,1,14.0,,,,,,,,,,,,,,,,
0,20202021,Texas Stars,AHL,45177,17,8,31,38,31,25,-10.0,,,,,,,,,,,,,,,,
0,20212022,Dallas Stars,National Hockey League,1,3,1,6,34,6,4,-4.0,465:27,36.0,30.0,0.0,0.0,01:01,464:17,0.0,2.8,0.0,0.0,0.0,0.0,00:09,30.0,592.0
0,20212022,Texas Stars,AHL,45177,11,0,36,27,36,11,-3.0,,,,,,,,,,,,,,,,
