,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20102011,Dübendorf II U15,U15-Top,140431,1,0,0,1,0,1,
0,20102011,Dübendorf III U15,Mini B,10149434,3,3,0,2,0,6,
0,20112012,Dübendorf II U15,U15-Top,140431,5,3,2,11,2,8,
0,20122013,Dübendorf U15,U15-Elit,80052,9,2,4,18,4,11,
0,20122013,Dübendorf II U15,U15-Top,140431,3,1,0,1,0,4,
0,20132014,Dübendorf U15,U15-Elit,80052,11,5,6,28,6,16,
0,20132014,Dübendorf U17,U17-A,80380,4,3,0,11,0,7,
0,20132014,Dübendorf II U15,U15-Top,140431,8,5,0,5,0,13,
0,20142015,Dübendorf U15,U15-Elit,80052,28,12,16,31,16,40,
0,20142015,Dübendorf U17,U17-Top,80576,3,1,2,12,2,4,
0,20152016,ZSC U17,U17-Elit,49889,14,4,10,41,10,18,
0,20162017,Switzerland U18,WJC-18,17733,0,0,2,5,2,0,-5.0
0,20162017,GC/Küsnacht U20,U20-Elit,44586,12,4,18,41,18,16,
0,20172018,ZSC,NL,2436,0,0,0,8,0,0,-2.0
0,20172018,GC/Küsnacht,SL,3867,10,5,41,36,41,15,-11.0
0,20172018,Switzerland U20,WJC-20,17756,0,0,2,5,2,0,-4.0
0,20172018,GC/Küsnacht U20,U20-Elit,44586,1,0,0,1,0,1,
0,20172018,Switzerland U18,Hlinka Gretzky Cup,158270,0,0,2,4,2,0,
0,20182019,ZSC,Champions HL,1292,1,1,0,6,0,2,2.0
0,20182019,ZSC,NL,2436,7,1,8,41,8,8,-11.0
0,20182019,GC/Küsnacht,SL,3867,0,1,0,3,0,1,-1.0
0,20182019,Switzerland U20,WJC-20,17756,2,0,2,7,2,2,-1.0
0,20192020,ZSC,NL,2436,7,4,8,45,8,11,8.0
0,20192020,Switzerland U20,WJC-20,17756,3,0,4,5,4,3,3.0
0,20202021,ZSC,NL,2436,3,4,20,52,20,7,4.0
0,20212022,Cleveland Monsters,AHL,22447,12,3,44,72,44,15,-14.0
