,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Dubnica U18,Svk-U18,1,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20052006,Dubnica U18,Svk-U18,1,15,11,18,43,18,0.0,26,,,,,,,,,,,,,,,,
0,20062007,Dubnica Jr.,Slovak-Jr.,1,0,3,2,6,2,0.0,3,,,,,,,,,,,,,,,,
0,20062007,Trencin U18,Svk-U18,2,44,33,42,48,42,0.0,77,,,,,,,,,,,,,,,,
0,20072008,Trencin U18,Svk-U18,1,4,9,0,4,0,0.0,13,,,,,,,,,,,,,,,,
0,20072008,Trencin Jr.,Slovak-Jr.,2,35,41,32,42,32,0.0,76,,,,,,,,,,,,,,,,
0,20082009,Detva,Slovak-2,1,1,1,2,1,2,0.0,2,,,,,,,,,,,,,,,,
0,20082009,Zvolen,Slovakia,2,8,7,20,48,20,0.0,15,,,,,,,,,,,,,,,,
0,20082009,Slovakia,WJC-A,3,4,7,4,7,4,0.0,11,,,,,,,,,,,,,,,,
0,20092010,Grand Rapids,AHL,1,16,16,12,58,12,,32,3.0,3.0,0.0,8.0,,,,,,,,,,,,
0,20092010,Slovakia,WJC-A,3,2,3,6,6,6,0.0,5,,,,,,,,,,,,,,,,
0,20092010,Slovakia,WC-A,5,0,2,4,6,4,0.0,2,,,,,,,,,,,,,,,,
0,20102011,Detroit Red Wings,National Hockey League,1,0,1,0,9,0,0.0,1,0.0,0.0,0.0,0.0,86:25,6.0,7.0,0.0,01:01,85:24,16.67,0.0,0.0,00:00,0.0,119.0
0,20102011,Grand Rapids,AHL,2,33,24,45,70,45,,57,6.0,5.0,0.0,14.0,,163.0,,,,,14.72,,,,,
0,20112012,Grand Rapids,AHL,1,34,24,45,76,45,,58,3.0,2.0,0.0,4.0,,224.0,,,,,10.71,,,,,
0,20112012,Slovakia,WC-A,2,3,2,0,10,0,,5,0.0,1.0,0.0,1.0,,,,,,,,,,,,
0,20122013,Detroit Red Wings,National Hockey League,1,3,4,4,18,4,100.0,7,1.0,0.0,0.0,2.0,204:44,32.0,9.0,1.0,32:43,172:01,12.5,0.0,0.0,00:00,5.0,271.0
0,20122013,Grand Rapids,AHL,3,26,23,50,61,50,,49,7.0,5.0,0.0,8.0,,205.0,,,,,11.22,,,,,
0,20122013,Piestany,Slovakia,99,5,5,6,8,6,,10,,,,,,,,,,,,,,,,
0,20132014,Detroit Red Wings,National Hockey League,1,20,19,30,73,30,50.0,39,2.0,3.0,0.0,12.0,1047:36,158.0,81.0,6.0,167:31,880:05,12.03,0.0,0.0,00:00,20.0,1451.0
0,20132014,Slovakia,Olympics,2,1,1,2,4,2,,2,0.0,0.0,0.0,1.0,,9.0,,,,,,,,,,
0,20132014,Slovakia,WC-A,3,4,4,6,7,6,,8,0.0,1.0,0.0,5.0,,19.0,,,,,,,,,,
0,20142015,Detroit Red Wings,National Hockey League,1,27,29,28,82,28,50.0,56,9.0,7.0,0.0,6.0,1330:18,211.0,90.0,19.0,204:17,1125:27,13.74,0.0,0.0,00:34,18.0,1817.0
0,20142015,Slovakia,WC,16381,2,0,6,6,6,,2,,,,-1.0,,,,,,,,,,,,
0,20152016,Detroit Red Wings,National Hockey League,1,24,21,24,81,24,25.0,45,7.0,3.0,0.0,4.0,1162:27,165.0,74.0,15.0,191:48,970:15,12.73,1.0,0.0,00:24,18.0,1601.0
0,20162017,Detroit Red Wings,National Hockey League,1,21,25,26,82,26,61.54,46,5.0,5.0,0.0,-8.0,1416:44,166.0,92.0,8.0,194:30,1218:23,15.06,0.0,0.0,03:51,24.0,1922.0
0,20162017,Team Europe,WCup,162186,0,3,0,6,0,,3,,,,0.0,,,,,,,,,,,,
0,20172018,Detroit Red Wings,National Hockey League,1,12,16,24,62,24,11.11,28,8.0,3.0,0.0,-8.0,1037:52,140.0,45.0,11.0,141:59,894:36,11.43,1.0,0.0,01:17,24.0,1408.0
0,20172018,Vegas Golden Knights,National Hockey League,2,2,4,10,20,10,16.67,6,1.0,1.0,0.0,-11.0,295:54,34.0,22.0,2.0,39:33,255:55,11.76,0.0,0.0,00:26,5.0,362.0
0,20182019,Montréal Canadiens,National Hockey League,1,33,25,34,80,34,25.64,58,4.0,4.0,0.0,21.0,1312:45,195.0,77.0,8.0,180:50,1129:23,12.82,0.0,0.0,02:32,30.0,1737.0
0,20182019,Slovakia,WC,17315,4,2,4,7,4,,6,,,,3.0,,,,,,,,,,,,
0,20192020,Montréal Canadiens,National Hockey League,1,39,22,36,68,36,36.0,61,8.0,1.0,0.0,5.0,1108:00,162.0,79.0,14.0,148:38,957:27,13.6,0.0,0.0,01:55,24.0,1512.0
0,20202021,Montréal Canadiens,National Hockey League,1,20,10,8,50,8,44.44,30,2.0,1.0,0.0,0.0,749:21,82.0,63.0,8.0,100:27,647:03,12.2,0.0,0.0,01:51,20.0,1015.0
0,20212022,New Jersey Devils,National Hockey League,1,15,15,22,76,22,38.0,30,2.0,1.0,0.0,-22.0,1127:15,132.0,75.0,5.0,141:43,985:05,11.4,0.0,0.0,00:27,28.0,1613.0
