,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Mercer,AYHL,1,29,31,176,29,176,60,,,,,,,,,,,,,,,,,
0,20092010,Westchester,Exhib.,2,2,5,0,7,0,7,,,,,,,,,,,,,,,,,
0,20102011,Cedar Rapids,USHL,1,14,1,19,28,19,15,33.0,0.0,3.0,0.0,0.0,4.0,,,,,,,,,,,
0,20112012,Sarnia,OHL,1,17,6,46,68,46,23,,2.0,,3.0,0.0,-7.0,,,,,,,,,,,
0,20122013,Sarnia,OHL,1,49,9,60,62,60,58,,3.0,,1.0,0.0,-13.0,,,,,,,,,,,
0,20132014,Sarnia,OHL,1,56,15,90,51,90,71,,6.0,,2.0,1.0,-34.0,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,1,1,2,4,5,4,3,16.0,2.0,,0.0,0.0,-1.0,,,,,,,,,,,
0,20142015,Sarnia,OHL,2,28,10,64,29,64,38,,2.0,,1.0,0.0,1.0,,,,,,,,,,,
0,20142015,Sault Ste. Marie,OHL,3,36,15,51,26,51,51,,2.0,,2.0,1.0,33.0,,,,,,,,,,,
0,20152016,Syracuse,AHL,1,37,6,84,69,84,43,151.0,0.0,4.0,2.0,0.0,-18.0,,,,,,,,,,,
0,20152016,Syracuse Crunch,AHL,1057,37,6,84,69,84,43,,,,,,-18.0,,,,,,,,,,,
0,20162017,Arizona Coyotes,National Hockey League,1,9,5,37,39,37,14,60.0,2.0,8.33,1.0,0.0,-13.0,666:40,31.0,8.0,95:28,569:04,0.0,0.0,0.0,02:08,48.0,815.0
0,20162017,Tucson Roadrunners,AHL,218897,13,3,31,25,31,16,,,,,,-2.0,,,,,,,,,,,
0,20172018,New York Rangers,National Hockey League,1,8,0,11,32,11,8,68.0,0.0,0.0,0.0,0.0,-18.0,529:54,31.0,6.0,61:42,463:41,100.0,0.0,0.0,04:31,42.0,711.0
0,20172018,Hartford Wolf Pack,AHL,847,11,2,17,29,17,13,,,,,,-12.0,,,,,,,,,,,
0,20182019,New York Rangers,National Hockey League,1,26,4,77,61,77,30,111.0,0.0,3.6,0.0,0.0,6.0,1178:59,54.0,10.0,116:59,1051:37,0.0,0.0,0.0,10:23,82.0,1494.0
0,20192020,New York Rangers,National Hockey League,1,38,15,47,68,47,53,149.0,3.0,10.1,3.0,0.0,12.0,1311:32,48.0,19.0,209:15,1098:55,0.0,2.0,0.0,03:22,57.0,1549.0
0,20202021,New York Rangers,National Hockey League,1,1,0,4,6,4,1,13.0,0.0,0.0,0.0,0.0,-6.0,110:51,3.0,1.0,21:56,88:44,0.0,0.0,0.0,00:11,6.0,134.0
0,20212022,Carolina Hurricanes,National Hockey League,1,41,10,56,64,56,51,151.0,2.0,6.6,2.0,0.0,30.0,1267:45,41.0,20.0,194:57,1063:46,0.0,0.0,0.0,09:02,59.0,1458.0
