,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20172018,Pelicans U18,U18 SM-sarja,65731,0,0,0,2,0,0,
0,20172018,Pelicans U16,U16 SM-sarja,81393,3,1,6,17,6,4,
0,20182019,Pelicans U18,U18 SM-sarja,65731,6,2,32,37,32,8,
0,20182019,Pelicans U16,U16 SM-sarja,81393,0,0,0,1,0,0,
0,20192020,Pelicans,Liiga,929,0,0,0,1,0,0,-1.0
0,20192020,Pelicans U20,U20 SM-sarja,22970,7,4,16,40,16,11,6.0
0,20192020,Peliitat,Mestis,31337,1,0,0,3,0,1,-1.0
0,20192020,Finland U17,WHC-17,61280,0,1,0,4,0,1,
0,20192020,Pelicans U18,U18 SM-sarja,65731,0,2,6,6,6,2,
0,20202021,Pelicans,Liiga,929,5,3,6,35,6,8,3.0
0,20202021,Finland U18,WJC-18,17093,4,0,4,7,4,4,1.0
0,20202021,Peliitat,Mestis,31337,1,0,0,6,0,1,-8.0
0,20212022,Pelicans,Liiga,929,6,0,12,50,12,6,5.0
0,20212022,Pelicans U20,U20 SM-sarja,22970,2,0,0,1,0,2,-1.0
