,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,shortHandedGoals,shortHandedTimeOnIce,plusMinus,points,shifts,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20042005,Des Moines,USHL,1,00:00,12,10,70,52,0.0,00:00,00:00,70,0.0,0.0,0.0,00:00,-5.0,22,0.0,,,,,,,
0,20052006,Des Moines,USHL,1,00:00,40,35,69,56,13.0,00:00,00:00,69,0.0,7.0,6.0,00:00,25.0,75,0.0,,,,,,,
0,20062007,Owen Sound,OHL,1,,44,29,51,62,11.0,,,51,,,2.0,,-9.0,73,,,,,,,,
0,20062007,Manchester,AHL,2,,2,4,2,8,3.0,,,2,,2.0,0.0,,0.0,6,,,,,,,,
0,20062007,United States,WJC-A,3,,1,1,2,7,,,,2,,,,,,2,,,,,,,,
0,20072008,Manchester,AHL,1,,16,12,43,76,5.0,,,43,,,2.0,,3.0,28,,,,,,,,
0,20082009,Los Angeles Kings,National Hockey League,1,69:35,2,1,0,6,0.0,00:19,68:41,0,25.0,0.0,0.0,00:35,0.0,3,83.0,10.0,4.0,0.0,10.0,0.0,0.0,4.0
0,20082009,Manchester,AHL,2,,31,20,30,75,7.0,,,30,,5.0,4.0,,-12.0,51,,,,,,,,
0,20092010,Los Angeles Kings,National Hockey League,1,45:38,0,0,0,5,0.0,00:32,43:44,0,0.0,0.0,0.0,01:22,-3.0,0,62.0,4.0,8.0,0.0,0.0,0.0,0.0,3.0
0,20092010,Manchester,AHL,2,,2,5,6,23,1.0,,,6,,1.0,1.0,,-6.0,7,,,,,,,,
0,20102011,Los Angeles Kings,National Hockey League,1,827:09,10,3,6,72,0.0,03:49,695:54,6,39.22,2.0,0.0,127:26,-11.0,13,1230.0,105.0,102.0,0.0,2.86,0.0,0.0,25.0
0,20112012,Los Angeles Kings,National Hockey League,1,953:03,4,3,26,72,0.0,18:22,810:04,26,43.72,1.0,0.0,124:37,-3.0,7,1311.0,103.0,117.0,0.0,2.91,0.0,0.0,25.0
0,20122013,Los Angeles Kings,National Hockey League,1,729:45,9,5,19,48,0.0,38:24,603:09,19,48.44,2.0,1.0,88:12,5.0,14,1010.0,92.0,83.0,0.0,5.43,0.0,2.0,31.0
0,20122013,Utah,ECHL,2,,6,3,4,6,1.0,,,4,,0.0,0.0,,0.0,9,,25.0,,,12.0,,,
0,20132014,Los Angeles Kings,National Hockey League,1,967:47,5,6,6,73,0.0,21:05,809:40,6,48.47,2.0,1.0,137:02,-1.0,11,1376.0,111.0,145.0,0.0,5.41,0.0,1.0,36.0
0,20142015,Los Angeles Kings,National Hockey League,1,1029:48,16,9,14,73,0.0,21:24,904:20,14,42.94,2.0,1.0,104:04,8.0,25,1347.0,143.0,192.0,0.0,6.29,0.0,1.0,19.0
0,20142015,U.S.A.,WC-A,2,,6,3,6,10,0.0,,,6,,0.0,0.0,,6.0,9,,14.0,,,,,,
0,20152016,Los Angeles Kings,National Hockey League,1,1091:59,8,8,20,75,0.0,27:12,949:58,20,40.08,1.0,1.0,114:49,-10.0,16,1531.0,167.0,168.0,1.0,4.79,0.0,1.0,28.0
0,20162017,Los Angeles Kings,National Hockey League,1,1170:24,12,12,30,82,1.0,16:12,1053:28,30,40.0,3.0,0.0,100:44,-6.0,24,1567.0,145.0,174.0,2.0,8.28,0.0,0.0,30.0
0,20172018,Los Angeles Kings,National Hockey League,1,1035:57,12,14,25,68,1.0,33:23,889:25,25,43.12,3.0,2.0,113:09,-6.0,26,1435.0,134.0,125.0,3.0,10.45,0.0,2.0,32.0
0,20182019,Los Angeles Kings,National Hockey League,1,617:00,9,3,9,44,0.0,04:22,549:00,9,45.97,1.0,0.0,63:38,-9.0,12,862.0,87.0,53.0,0.0,3.45,0.0,0.0,25.0
0,20192020,Los Angeles Kings,National Hockey League,1,666:27,6,6,16,56,0.0,03:37,616:16,16,38.79,1.0,0.0,46:34,-7.0,12,976.0,92.0,68.0,0.0,6.5,0.0,0.0,22.0
0,20202021,Winnipeg Jets,National Hockey League,1,552:12,5,5,2,56,0.0,00:42,451:55,2,57.89,1.0,2.0,99:35,7.0,10,791.0,68.0,71.0,0.0,7.4,0.0,2.0,22.0
0,20212022,Calgary Flames,National Hockey League,1,1026:31,10,6,12,80,0.0,06:53,881:40,12,42.31,1.0,1.0,137:58,-1.0,16,1502.0,108.0,176.0,1.0,5.6,0.0,1.0,40.0
