,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,New Jersey Jr. Titans 14U AAA,AYHL 14U,205120,10,5,52,22,52,15,,,,,,,,,,,,,,,,,
0,20072008,Christian Brothers Academy,USHS-Prep,61448,39,9,12,27,12,48,0.0,,,,,,,,,,,,,,,,
0,20082009,Christian Bros.,High-NJ,1,47,11,18,29,18,58,,,,,,,,,,,,,,,,,
0,20092010,N.H. Jr. Monarchs,EJHL,1,27,8,4,31,4,35,,5.0,3.0,0.0,,,,,,,,,,,,,
0,20102011,N.H. Jr. Monarchs,EJHL,1,22,16,20,39,20,38,,7.0,2.0,0.0,,,,,,,,,,,,,
0,20112012,New Hampshire,H-East,1,15,4,24,37,24,19,,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,New Hampshire,H-East,1,25,8,8,39,8,33,,3.0,2.0,1.0,,,,,,,,,,,,,
0,20132014,New Hampshire,H-East,1,19,4,10,26,10,23,,2.0,0.0,0.0,,,,,,,,,,,,,
0,20142015,Chicago Blackhawks,National Hockey League,1,1,0,2,18,2,1,0.0,0.0,0.0,0.0,243:39,21.0,4.0,0.0,02:56,237:41,0.0,0.0,0.0,0.0,03:02,15.0,319.0
0,20142015,Rockford,AHL,2,3,0,0,8,0,3,2.0,0.0,0.0,0.0,,7.0,,,,,,0.0,,,,,
0,20152016,Chicago Blackhawks,National Hockey League,1,11,3,31,82,31,14,-5.0,0.0,1.0,0.0,1638:40,85.0,44.0,2.0,47:22,1450:15,0.0,3.53,0.0,1.0,141:03,155.0,2286.0
0,20162017,Chicago Blackhawks,National Hockey League,1,11,5,29,58,29,16,17.0,0.0,2.0,0.0,1067:42,73.0,22.0,0.0,31:46,986:03,0.0,6.85,0.0,0.0,49:53,100.0,1392.0
0,20162017,USA,WC,17215,0,0,2,8,2,0,0.0,,,,,,,,,,,,,,,,
0,20172018,Carolina Hurricanes,National Hockey League,1,13,3,20,79,20,16,9.0,0.0,1.0,0.0,1346:58,111.0,25.0,0.0,15:44,1226:51,0.0,2.7,0.0,0.0,104:23,113.0,1742.0
0,20182019,Carolina Hurricanes,National Hockey League,1,11,3,10,78,10,14,-4.0,0.0,1.0,0.0,1174:34,102.0,42.0,0.0,04:32,1089:31,0.0,2.94,0.0,0.0,80:31,84.0,1563.0
0,20192020,Carolina Hurricanes,National Hockey League,1,7,1,10,49,10,8,-7.0,0.0,0.0,0.0,728:27,58.0,21.0,0.0,01:40,666:32,0.0,1.7,0.0,0.0,60:15,37.0,967.0
0,20202021,Washington Capitals,National Hockey League,1,2,1,2,20,2,3,-1.0,0.0,0.0,0.0,341:32,23.0,13.0,1.0,04:17,304:55,0.0,4.3,0.0,0.0,32:20,27.0,420.0
0,20212022,Washington Capitals,National Hockey League,1,16,1,40,72,40,17,-3.0,0.0,0.0,0.0,1257:42,75.0,25.0,0.0,11:30,1055:28,0.0,1.3,0.0,1.0,190:44,129.0,1589.0
