,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,CAC Canadians Bantam AAA,AMBHL,56338,10,14,28,33,28,0.0,24,,,,,,,,,,,,,,,,
0,20132014,CAC Canadians Bantam AAA,AMBHL,56338,41,19,69,31,69,0.0,60,,,,,,,,,,,,,,,,
0,20142015,CAC Canadians Mdgt AAA,AMHL,33207,16,9,28,32,28,0.0,25,,,,,,,,,,,,,,,,
0,20152016,Spruce Grove Saints,AJHL,20762,15,16,74,51,74,,31,,,,,,,,,,,,,,,,
0,20162017,Edmonton Oil Kings,WHL,18851,30,24,69,70,69,-16.0,54,,,,,,,,,,,,,,,,
0,20172018,Edmonton Oil Kings,WHL,18851,57,32,81,71,81,-15.0,89,,,,,,,,,,,,,,,,
0,20182019,Edmonton Oil Kings,WHL,18851,65,37,52,65,52,36.0,102,,,,,,,,,,,,,,,,
0,20192020,Cleveland Monsters,AHL,22447,14,12,32,43,32,-11.0,26,,,,,,,,,,,,,,,,
0,20202021,Cleveland Monsters,AHL,22447,5,4,2,9,2,-6.0,9,,,,,,,,,,,,,,,,
0,20212022,Columbus Blue Jackets,National Hockey League,1,1,1,0,6,0,-1.0,2,37:43,5.0,7.0,0.0,0.0,00:00,37:43,0.0,20.0,0.0,0.0,0.0,0.0,00:00,4.0,62.0
0,20212022,Cleveland Monsters,AHL,22447,18,15,59,53,59,-8.0,33,,,,,,,,,,,,,,,,
