,season,team,league,sequenceNumber,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,saves,savePercentage,shotsAgainst,goalsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20092010,North Delta,Minor-BC,1,1.65,26,,,,,,,,,,,,,,,,,,,,
0,20102011,Greater Van.,BCMML,1,2.31,20,,,,,,,,,,,,,,,,,,,,
0,20112012,Edmonton,WHL,1,2.93,14,718:00,0.0,1.0,8.0,2.0,294.0,0.894,329.0,35.0,,,,,,,,,,,
0,20122013,Edmonton,WHL,1,1.61,27,1495:00,6.0,0.0,18.0,7.0,585.0,0.936,625.0,40.0,,,,,,,,,,,
0,20132014,Edmonton,WHL,1,2.24,63,3703:00,8.0,3.0,44.0,14.0,1467.0,0.914,1605.0,138.0,,,,,,,,,,,
0,20142015,Edmonton,WHL,1,2.74,55,3216:00,3.0,6.0,23.0,26.0,1440.0,0.907,1587.0,147.0,,,,,,,,,,,
0,20142015,Edmonton Oil Kings,WHL,18851,2.74,55,,,,,,,0.907,,,,,,,,,,,,,
0,20152016,Wilkes-Barre/Scranton Penguins,AHL,1077,2.69,33,,,,,,,0.905,,,,,,,,,,,,,
0,20162017,Pittsburgh Penguins,National Hockey League,1,3.06383,1,58:45,0.0,,0.0,1.0,22.0,0.88,25.0,3.0,0.0,0.0,0.0,22.0,0.0,24.0,1.0,1.0,0.0,91.66666666666666,
0,20162017,Wilkes-Barre/Scranton Penguins,AHL,1077,2.15,45,,,,,,,0.925,,,,,,,,,,,,,
0,20172018,Pittsburgh Penguins,National Hockey League,1,2.771396,26,1363:56,2.0,0.0,14.0,6.0,624.0,0.908297,687.0,63.0,2.0,93.0,21.0,510.0,22.0,561.0,104.0,23.0,89.42307692307693,90.9090909090909,95.45454545454545
0,20172018,Wilkes-Barre/Scranton Penguins,AHL,1077,3.05,16,,,,,,,0.901,,,,,,,,,,,,,
0,20182019,Pittsburgh Penguins,National Hockey League,1,3.498542,2,120:03,0.0,0.0,0.0,1.0,55.0,0.887097,62.0,7.0,1.0,0.0,0.0,55.0,0.0,62.0,0.0,2.0,,88.70967741935483,
0,20182019,Wilkes-Barre/Scranton Penguins,AHL,1077,2.66,47,,,,,,,0.915,,,,,,,,,,,,,
0,20192020,Pittsburgh Penguins,National Hockey League,1,2.4293,33,1926:29,3.0,0.0,20.0,12.0,907.0,0.921,985.0,78.0,1.0,114.0,24.0,769.0,25.0,828.0,132.0,31.0,86.36363636363636,92.8743961352657,96.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,2.7456,39,2185:18,2.0,0.0,25.0,9.0,1000.0,0.909,1100.0,100.0,3.0,121.0,36.0,843.0,38.0,918.0,144.0,38.0,84.02777777777779,91.83006535947712,94.73684210526315
0,20212022,Pittsburgh Penguins,National Hockey League,1,2.42447,58,3415:11,4.0,0.0,34.0,18.0,1573.0,0.919,1711.0,138.0,6.0,171.0,56.0,1346.0,61.0,1461.0,189.0,56.0,90.47619047619048,92.12867898699521,91.80327868852459
