,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Richmond Blues Bantam A1-T1,PCBHL,140374,16,4,20,61,20,0.0,20,,,,,,,,,,,,,,,,
0,20082009,Richmond Blues Bantam A1-T1,PCBHL,140374,51,17,30,71,30,0.0,68,,,,,,,,,,,,,,,,
0,20092010,Greater Vancouver Canadians,BCMML,47302,27,4,22,38,22,0.0,31,,,,,,,,,,,,,,,,
0,20102011,Penticton Vees,BCHL,21862,15,5,47,54,47,0.0,20,,,,,,,,,,,,,,,,
0,20112012,Penticton Vees,BCHL,21862,37,5,42,53,42,0.0,42,,,,,,,,,,,,,,,,
0,20122013,Penticton Vees,BCHL,21862,39,8,40,52,40,0.0,47,,,,,,,,,,,,,,,,
0,20132014,North Dakota,NCHC,1,9,2,14,42,14,,11,1.0,0.0,0.0,,,,,,,,,,,,,
0,20142015,North Dakota,NCHC,1,10,3,22,34,22,11.0,13,0.0,0.0,1.0,,,,,,,,,,,,,
0,20152016,North Dakota,NCHC,1,21,8,37,43,37,26.0,29,1.0,1.0,0.0,,,,,,,,,,,,,
0,20152016,Univ. of North Dakota,NCAA,11930,21,8,37,43,37,26.0,29,,,,,,,,,,,,,,,,
0,20162017,Vancouver Canucks,National Hockey League,1,21,3,25,71,25,-16.0,24,1.0,0.0,0.0,1418:30,125.0,51.0,8.0,192:51,1221:22,0.0,2.4,0.0,0.0,04:17,66.0,1719.0
0,20162017,Utica Comets,AHL,152247,1,0,4,4,4,0.0,1,,,,,,,,,,,,,,,,
0,20172018,Vancouver Canucks,National Hockey League,1,10,1,35,68,35,-7.0,11,0.0,0.0,0.0,1279:11,94.0,111.0,1.0,16:05,1159:57,0.0,1.06,0.0,1.0,103:09,75.0,1628.0
0,20182019,Vancouver Canucks,National Hockey League,1,21,2,32,78,32,9.0,23,0.0,0.0,1.0,1553:31,105.0,91.0,2.0,68:41,1372:46,0.0,1.9,0.0,1.0,112:04,96.0,1915.0
0,20182019,Canada,WC,17155,2,1,2,10,2,9.0,3,,,,,,,,,,,,,,,,
0,20192020,Vancouver Canucks,National Hockey League,1,12,5,32,69,32,10.0,17,0.0,0.0,0.0,1058:59,86.0,69.0,0.0,04:08,1017:03,0.0,5.8,0.0,0.0,37:48,70.0,1473.0
0,20202021,Detroit Red Wings,National Hockey League,1,8,3,12,44,12,-13.0,11,0.0,0.0,0.0,761:54,55.0,33.0,0.0,12:02,732:22,0.0,5.5,0.0,0.0,17:30,46.0,954.0
0,20202021,Canada,WC,17155,1,1,2,10,2,5.0,2,,,,,,,,,,,,,,,,
0,20212022,Detroit Red Wings,National Hockey League,1,1,1,9,16,9,-6.0,2,0.0,0.0,0.0,242:07,23.0,19.0,0.0,02:48,235:04,0.0,4.3,0.0,0.0,04:15,17.0,317.0
0,20212022,Los Angeles Kings,National Hockey League,2,1,0,4,13,4,-1.0,1,0.0,0.0,0.0,241:16,27.0,14.0,0.0,00:47,220:23,0.0,0.0,0.0,0.0,20:06,21.0,284.0
