,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,St. Albert Blues Bantam AA,ERBHL,109252,8,7,14,26,14,0.0,15,,,,,,,,,,,,,,,,
0,20062007,St. Albert Sabres Bantam AAA,AMBHL,55208,9,10,73,30,73,0.0,19,,,,,,,,,,,,,,,,
0,20082009,St. Albert,AMHL,1,12,11,77,33,77,,23,,,,,,,,,,,,,,,,
0,20092010,Red Deer,WHL,1,8,9,94,66,94,0.0,17,3.0,0.0,4.0,,,,,,,,,,,,,
0,20102011,Red Deer,WHL,1,15,16,124,68,124,27.0,31,5.0,2.0,3.0,,,,,,,,,,,,,
0,20112012,Red Deer,WHL,1,25,21,59,55,59,-7.0,46,5.0,,2.0,,,,,,,,,,,,,
0,20112012,Abbotsford,AHL,2,0,0,2,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20122013,Red Deer,WHL,1,31,26,60,64,60,26.0,57,5.0,,3.0,,,,,,,,,,,,,
0,20122013,Abbotsford,AHL,2,0,0,0,2,0,-2.0,0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,
0,20132014,Abbotsford,AHL,1,1,2,19,37,19,1.0,3,0.0,0.0,0.0,48.0,4.2,,,,,,,,,,,
0,20132014,Alaska,ECHL,2,10,5,18,18,18,10.0,15,0.0,,1.0,,,,,,,,,,,,,
0,20142015,Adirondack,AHL,1,13,17,52,59,52,5.0,30,2.0,4.0,1.0,150.0,11.3,,,,,,,,,,,
0,20152016,Calgary Flames,National Hockey League,1,1,0,0,1,0,1.0,1,0.0,0.0,0.0,0.0,0.0,14:54,2.0,0.0,00:00,11:55,0.0,0.0,0.0,02:59,0.0,20.0
0,20152016,Stockton,AHL,2,16,14,59,63,59,-12.0,30,2.0,1.0,3.0,159.0,8.8,,,,,,,,,,,
0,20152016,Stockton Heat,AHL,186037,16,14,59,63,59,-12.0,30,,,,,,,,,,,,,,,,
0,20162017,San Antonio Rampage,AHL,8497,2,1,12,13,12,-2.0,3,,,,,,,,,,,,,,,,
0,20172018,Grand Rapids Griffins,AHL,987,12,9,49,57,49,12.0,21,,,,,,,,,,,,,,,,
0,20182019,Grand Rapids Griffins,AHL,987,21,18,80,72,80,12.0,39,,,,,,,,,,,,,,,,
0,20192020,Grand Rapids Griffins,AHL,987,13,9,45,61,45,8.0,22,,,,,,,,,,,,,,,,
0,20202021,Grand Rapids Griffins,AHL,987,13,4,24,31,24,6.0,17,,,,,,,,,,,,,,,,
0,20212022,Detroit Red Wings,National Hockey League,1,0,0,0,2,0,-1.0,0,0.0,0.0,0.0,1.0,0.0,26:45,3.0,0.0,00:06,26:39,0.0,0.0,0.0,00:00,1.0,37.0
0,20212022,Grand Rapids Griffins,AHL,987,24,21,30,73,30,1.0,45,,,,,,,,,,,,,,,,
