,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Central Ontario Wolv. Bantam AAA,ETABHL,152978,17,18,38,33,38,35,,,,,,,,,,,,,,,,,
0,20152016,Haliburton County Huskies,OJHL,37600,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20152016,Central Ontario Wolves U16 AAA,ETAHL U16,82854,21,36,52,36,52,57,,,,,,,,,,,,,,,,,
0,20152016,Team OMHA Black,OGC-16,156327,2,1,0,5,0,3,,,,,,,,,,,,,,,,,
0,20162017,Canada U18,WJC-18,17193,0,0,0,5,0,0,0.0,,,,,,,,,,,,,,,,
0,20162017,Canada Red U17,WHC-17,163770,1,1,2,5,2,2,,,,,,,,,,,,,,,,,
0,20162017,Flint Firebirds,OHL,187098,11,13,26,57,26,24,-12.0,,,,,,,,,,,,,,,,
0,20172018,Canada U18,WJC-18,17193,3,2,4,5,4,5,5.0,,,,,,,,,,,,,,,,
0,20172018,Canada U18,Hlinka Gretzky Cup,144760,0,0,4,5,4,0,,,,,,,,,,,,,,,,,
0,20172018,Flint Firebirds,OHL,187098,32,27,48,67,48,59,-30.0,,,,,,,,,,,,,,,,
0,20182019,Texas Stars,AHL,45177,1,2,4,11,4,3,5.0,,,,,,,,,,,,,,,,
0,20182019,Flint Firebirds,OHL,187098,41,22,51,60,51,63,-31.0,,,,,,,,,,,,,,,,
0,20192020,Canada U20,WJC-20,17216,2,3,6,7,6,5,2.0,,,,,,,,,,,,,,,,
0,20192020,Flint Firebirds,OHL,187098,38,32,33,47,33,70,-1.0,,,,,,,,,,,,,,,,
0,20202021,Dallas Stars,National Hockey League,1,2,3,23,26,23,5,0.0,324:38,31.0,47.0,2.0,3.0,36:19,277:08,45.0,9.7,0.0,0.0,0.0,0.0,11:11,10.0,483.0
0,20202021,JYP,Liiga,909,1,2,2,6,2,3,-5.0,,,,,,,,,,,,,,,,
0,20202021,Texas Stars,AHL,45177,4,2,2,8,2,6,1.0,,,,,,,,,,,,,,,,
0,20212022,Dallas Stars,National Hockey League,1,0,0,0,1,0,0,-1.0,10:37,1.0,3.0,0.0,0.0,00:00,10:37,33.33,0.0,0.0,0.0,0.0,0.0,00:00,0.0,12.0
0,20212022,Texas Stars,AHL,45177,27,23,43,68,43,50,-9.0,,,,,,,,,,,,,,,,
