,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Eau Claire Memorial High,USHS-WI,98607,12,4,7.0,24,7,16,
0,20142015,Team Wisconsin U14,Bantam,192255,13,9,14.0,33,14,22,
0,20152016,Eau Claire Memorial High,USHS-WI,99241,23,10,10.0,22,10,33,
0,20152016,USA U16,YOG,118227,3,0,0.0,6,0,3,8.0
0,20152016,Team White,USA-S15,178203,3,1,,5,,4,
0,20152016,Team Wisconsin 16U AAA,16U AAA,208485,31,4,27.0,38,27,35,
0,20162017,U.S. National U18 Team,USDP,19564,0,0,0.0,1,0,0,
0,20162017,U.S. National U17 Team,USDP,19734,18,0,14.0,56,14,18,
0,20162017,USNTDP Juniors,USHL,52486,8,0,12.0,34,12,8,-18.0
0,20162017,USA U17,WHC-17,61270,3,0,0.0,5,0,3,
0,20172018,USA U18,WJC-18,17253,4,0,12.0,7,12,4,5.0
0,20172018,U.S. National U18 Team,USDP,19564,23,4,46.0,61,46,27,
0,20172018,USNTDP Juniors,USHL,52486,11,4,0.0,25,0,15,12.0
0,20182019,Univ. of Wisconsin,NCAA,5080,8,4,10.0,37,10,12,6.0
0,20192020,Univ. of Wisconsin,NCAA,5080,8,1,53.0,33,53,9,-9.0
0,20192020,USA U20,WJC-20,17276,0,0,0.0,5,0,0,2.0
0,20202021,Univ. of Wisconsin,NCAA,5080,9,4,6.0,31,6,13,14.0
0,20202021,Tucson Roadrunners,AHL,218897,0,1,0.0,5,0,1,-1.0
0,20212022,Tucson Roadrunners,AHL,218897,7,4,17.0,58,17,11,-25.0
