,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Chicago Jr. Blackhawks,Brick Invitational,128836,3,0,0.0,5,0,3,,,,,,,,,,,,,,,,,
0,20142015,Elite AAA U16A,ECEL U16,164208,8,1,4.0,19,4,9,,,,,,,,,,,,,,,,,
0,20142015,Elite AAA 16U,AYHL 16U,203951,22,16,16.0,30,16,38,,,,,,,,,,,,,,,,,
0,20152016,Salisbury School,USHS-Prep,47622,11,5,,26,,16,,,,,,,,,,,,,,,,,
0,20152016,Team Royal,USA-S16,177784,3,2,4.0,5,4,5,,,,,,,,,,,,,,,,,
0,20162017,Dubuque Fighting Saints,USHL,12506,0,0,2.0,3,2,0,-3.0,,,,,,,,,,,,,,,,
0,20162017,Salisbury School,USHS-Prep,47622,18,7,,20,,25,,,,,,,,,,,,,,,,,
0,20162017,Team Orange,USA-S17,177525,3,3,,5,,6,,,,,,,,,,,,,,,,,
0,20172018,Dubuque Fighting Saints,USHL,12506,20,12,48.0,60,48,32,-5.0,,,,,,,,,,,,,,,,
0,20182019,Providence College,NCAA,7690,17,8,20.0,42,20,25,12.0,,,,,,,,,,,,,,,,
0,20192020,Providence College,NCAA,7690,25,19,29.0,34,29,44,8.0,,,,,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,1,0,0.0,7,0,1,-3.0,61:03,4.0,5.0,0.0,0.0,01:01,60:02,0.0,0.0,0.0,0.0,0.0,0.0,00:00,2.0,96.0
0,20202021,Providence College,NCAA,7690,14,11,16.0,25,16,25,-2.0,,,,,,,,,,,,,,,,
0,20202021,Binghamton Devils,AHL,233827,2,2,18.0,11,18,4,-6.0,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,0,0,0.0,2,0,0,0.0,28:50,3.0,2.0,0.0,0.0,00:15,27:15,100.0,0.0,0.0,0.0,0.0,0.0,01:20,0.0,41.0
0,20212022,Utica Comets,AHL,152247,9,6,16.0,16,16,15,-1.0,,,,,,,,,,,,,,,,
