,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Valley West,BCMML,1,13,11,85,37,85,24,,,,,,,,,,,,,,,,,
0,20082009,Portland,WHL,2,0,0,0,4,0,0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
0,20092010,Portland,WHL,1,4,1,21,43,21,5,0.0,,0.0,15.0,,,,,,,,,,,,,
0,20102011,Portland,WHL,1,10,2,73,64,73,12,0.0,,0.0,0.0,,,,,,,,,,,,,
0,20112012,Portland,WHL,1,21,7,42,67,42,28,2.0,,0.0,18.0,,,,,,,,,,,,,
0,20122013,Portland,WHL,1,30,7,30,61,30,37,2.0,,0.0,62.0,,,,,,,,,,,,,
0,20122013,Canada,WJC-A,2,1,1,0,6,0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,Calgary Flames,National Hockey League,1,4,0,4,14,4,4,0.0,0.0,0.0,-3.0,188:18,3.0,8.0,0.0,00:02,187:48,0.0,0.0,0.0,0.0,00:28,17.0,259.0
0,20132014,Abbotsford,AHL,2,8,1,12,48,12,9,0.0,0.0,0.0,13.0,,45.0,,,,,,2.2,,,,,
0,20142015,Calgary Flames,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,-3.0,20:19,1.0,0.0,0.0,00:00,15:43,0.0,0.0,0.0,0.0,04:36,2.0,28.0
0,20142015,Adirondack,AHL,2,22,2,20,61,20,24,1.0,1.0,0.0,-1.0,,107.0,,,,,,1.9,,,,,
0,20152016,Calgary Flames,National Hockey League,1,1,0,0,11,0,1,0.0,0.0,0.0,0.0,155:52,9.0,14.0,0.0,00:47,142:22,0.0,0.0,0.0,0.0,12:43,16.0,210.0
0,20152016,Stockton,AHL,2,8,2,16,53,16,10,0.0,1.0,0.0,1.0,,55.0,,,,,,3.6,,,,,
0,20152016,Stockton Heat,AHL,186037,8,2,16,53,16,10,,,,1.0,,,,,,,,,,,,,
0,20162017,Calgary Flames,National Hockey League,1,0,0,0,4,0,0,0.0,0.0,0.0,-2.0,43:36,4.0,3.0,0.0,00:00,43:36,0.0,0.0,0.0,0.0,00:00,2.0,62.0
0,20162017,Stockton Heat,AHL,186037,12,6,24,56,24,18,,,,30.0,,,,,,,,,,,,,
0,20172018,Stockton Heat,AHL,186037,30,7,46,67,46,37,,,,19.0,,,,,,,,,,,,,
0,20182019,San Antonio Rampage,AHL,8497,18,4,28,70,28,22,,,,-3.0,,,,,,,,,,,,,
0,20192020,Lehigh Valley Phantoms,AHL,173347,18,4,26,54,26,22,,,,9.0,,,,,,,,,,,,,
0,20202021,Lehigh Valley Phantoms,AHL,173347,6,0,18,24,18,6,,,,1.0,,,,,,,,,,,,,
0,20212022,Canada,OG,16922,2,0,2,5,2,2,,,,2.0,,,,,,,,,,,,,
0,20212022,Utica Comets,AHL,152247,18,3,22,53,22,21,,,,26.0,,,,,,,,,,,,,
