,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20132014,Jää-Ahmat U18,Jr. B Suomi-sarja,46963,0.791,9.0,1,,,,,,,,,,,,,,,,,,,
0,20142015,HPK U16,Jr. C SM-sarja Q,10154128,0.911,2.78,9,,,,,,,,,,,,,,,,,,,
0,20152016,Finland U18,WJC-18,17093,0.917,2.0,3,,,,,,,,,,,,,,,,,,,
0,20152016,HPK U18,U18 SM-sarja,25801,0.901,,31,,,,,,,,,,,,,,,,,,,
0,20152016,HPK U20,U20 SM-sarja,25820,0.924,1.98,15,,,,,,,,,,,,,,,,,,,
0,20152016,Finland U17,WHC-17,61280,0.903,3.0,1,,,,,,,,,,,,,,,,,,,
0,20162017,Finland U18,WJC-18,17093,0.899,2.9,6,,,,,,,,,,,,,,,,,,,
0,20162017,HPK U20,U20 SM-sarja,25820,0.917,1.78,35,,,,,,,,,,,,,,,,,,,
0,20172018,HPK,Liiga,6589,0.75,3.55,1,,,,,,,,,,,,,,,,,,,
0,20172018,LeKi,Mestis,7347,0.909,2.92,24,,,,,,,,,,,,,,,,,,,
0,20172018,Finland U20,WJC-20,17116,0.879,3.13,5,,,,,,,,,,,,,,,,,,,
0,20172018,HPK U20,U20 SM-sarja,25820,0.924,2.5,2,,,,,,,,,,,,,,,,,,,
0,20182019,Rochester Americans,AHL,1047,0.941,2.0,1,,,,,,,,,,,,,,,,,,,
0,20182019,Sudbury Wolves,OHL,6228,0.92,2.5,53,,,,,,,,,,,,,,,,,,,
0,20182019,Finland U20,WJC-20,17116,0.932,1.8,6,,,,,,,,,,,,,,,,,,,
0,20192020,Rochester Americans,AHL,1047,0.874,3.15,10,,,,,,,,,,,,,,,,,,,
0,20192020,Cincinnati Cyclones,ECHL,6395,0.912,2.24,23,,,,,,,,,,,,,,,,,,,
0,20202021,Buffalo Sabres,National Hockey League,1,0.906,3.8763,4,216:42,0.0,0.0,0.0,1.0,3.0,135.0,19.0,0.0,116.0,0.0,128.0,21.0,4.0,149.0,14.0,90.47619047619048,90.625,
0,20202021,TPS,Liiga,969,0.908,2.52,13,,,,,,,,,,,,,,,,,,,
0,20202021,Rochester Americans,AHL,1047,0.888,3.6,14,,,,,,,,,,,,,,,,,,,
0,20212022,Buffalo Sabres,National Hockey League,1,0.917,2.74318,9,503:04,2.0,0.0,0.0,2.0,5.0,254.0,28.0,3.0,223.0,3.0,244.0,30.0,9.0,277.0,23.0,93.33333333333333,91.39344262295081,100.0
0,20212022,Rochester Americans,AHL,1047,0.9,3.28,35,,,,,,,,,,,,,,,,,,,
