,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20112012,Chelyabinsk Jr.,Russia-Jr.,1,6,4,6,38,6,10,,,,,,,,,,,,,,,,,
0,20122013,Chelyabinsk Jr.,Russia-Jr.,1,4,4,0,9,0,8,,,,,,,,,,,,,,,,,
0,20122013,Chelmet,Russia-2,2,2,8,4,15,4,10,,,,,,,,,,,,,,,,,
0,20122013,Chelyabinsk,KHL,3,2,4,0,18,0,6,,,,,,,,,,,,,,,,,
0,20132014,Dallas Stars,National Hockey League,1,20,14,8,79,8,34,1182:35,128.0,86.0,2.0,3.0,104:13,1077:28,0.0,10.94,2.0,0.0,0.0,0.0,00:54,27.0,20.0,1497.0
0,20132014,Russia,Olympics,2,0,1,0,5,0,1,,4.0,,0.0,,,,,,0.0,,0.0,,,,-2.0,
0,20142015,Dallas Stars,National Hockey League,1,1,0,2,8,2,1,110:11,6.0,7.0,0.0,0.0,05:00,105:08,0.0,0.0,0.0,0.0,0.0,0.0,00:03,1.0,-5.0,146.0
0,20142015,Texas,AHL,2,4,0,12,5,12,4,,16.0,,0.0,,,,,0.0,0.0,,0.0,,,,-6.0,
0,20152016,Dallas Stars,National Hockey League,1,20,9,12,79,12,29,1100:36,139.0,68.0,1.0,2.0,78:13,1021:51,0.0,6.47,1.0,0.0,0.0,0.0,00:32,33.0,2.0,1511.0
0,20162017,CSKA Moskva,KHL,2314,13,11,9,36,9,24,,,,,,,,,,,,,,,,25.0,
0,20162017,Russia,WC,17485,3,0,0,6,0,3,,,,,,,,,,,,,,,,1.0,
0,20162017,Russia,EHT,64546,4,1,0,9,0,5,,,,,,,,,,,,,,,,4.0,
0,20172018,CSKA Moskva,KHL,2314,11,16,14,50,14,27,,,,,,,,,,,,,,,,11.0,
0,20172018,Russia,EHT,64546,0,2,2,5,2,2,,,,,,,,,,,,,,,,2.0,
0,20182019,Dallas Stars,National Hockey League,1,10,0,0,57,0,10,679:16,65.0,71.0,0.0,0.0,19:18,642:49,50.0,0.0,0.0,0.0,0.0,0.0,17:09,32.0,-4.0,1027.0
0,20192020,Colorado Avalanche,National Hockey League,1,14,13,14,65,14,27,914:44,113.0,84.0,1.0,1.0,101:02,775:38,40.0,11.5,3.0,0.0,1.0,1.0,38:04,22.0,26.0,1180.0
0,20202021,Colorado Avalanche,National Hockey League,1,11,10,4,55,4,21,774:28,98.0,65.0,0.0,1.0,48:56,646:28,33.33,10.2,4.0,1.0,1.0,1.0,79:04,28.0,9.0,1066.0
0,20212022,Colorado Avalanche,National Hockey League,1,27,25,14,62,14,52,1179:37,180.0,89.0,5.0,9.0,144:29,926:43,0.0,13.9,5.0,0.0,2.0,2.0,108:25,27.0,21.0,1494.0
