,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20162017,Vityaz Podolsk U16,Russia U16,190717,23,16,45,29,45,39,,,,,,,,,,,,,,,,,
0,20162017,Russia U16,EYOF,216647,6,5,2,4,2,11,15.0,,,,,,,,,,,,,,,,
0,20172018,Russia U18,WJC-18,17523,2,2,0,4,0,4,5.0,,,,,,,,,,,,,,,,
0,20172018,Russia U17,WHC-17,61290,5,1,10,5,10,6,,,,,,,,,,,,,,,,,
0,20172018,Vityaz Podolsk U17,Russia U17,184018,17,13,20,21,20,30,,,,,,,,,,,,,,,,,
0,20182019,SKA St. Petersburg,KHL,2434,0,0,0,3,0,0,-1.0,,,,,,,,,,,,,,,,
0,20182019,Russia U18,WJC-18,17523,3,1,6,7,6,4,2.0,,,,,,,,,,,,,,,,
0,20182019,Russia U20,WJC-20,17546,3,0,4,7,4,3,1.0,,,,,,,,,,,,,,,,
0,20182019,SKA-Neva St. Petersburg,VHL,46357,3,2,4,14,4,5,6.0,,,,,,,,,,,,,,,,
0,20182019,SKA-1946 St. Petersburg,MHL,49762,2,6,2,12,2,8,9.0,,,,,,,,,,,,,,,,
0,20182019,Russia U18 |WJAC-19|,WJAC-19,87382,5,3,6,6,6,8,,,,,,,,,,,,,,,,,
0,20182019,Russia U18,Hlinka Gretzky Cup,158300,3,8,8,5,8,11,,,,,,,,,,,,,,,,,
0,20192020,SKA St. Petersburg,KHL,2434,6,2,7,30,7,8,8.0,,,,,,,,,,,,,,,,
0,20192020,Russia U20,WJC-20,17546,4,1,8,7,8,5,0.0,,,,,,,,,,,,,,,,
0,20192020,SKA-Neva St. Petersburg,VHL,46357,5,3,6,16,6,8,3.0,,,,,,,,,,,,,,,,
0,20192020,SKA-1946 St. Petersburg,MHL,49762,4,0,6,2,6,4,4.0,,,,,,,,,,,,,,,,
0,20192020,Russia,EHT,64546,0,0,0,2,0,0,-2.0,,,,,,,,,,,,,,,,
0,20202021,SKA St. Petersburg,KHL,2434,6,5,15,35,15,11,6.0,,,,,,,,,,,,,,,,
0,20202021,Russia U20,WJC-20,17546,2,2,8,7,8,4,-2.0,,,,,,,,,,,,,,,,
0,20202021,SKA-Neva St. Petersburg,VHL,46357,1,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,
0,20202021,Russia,EHT,64546,6,2,2,6,2,8,5.0,,,,,,,,,,,,,,,,
0,20212022,Vancouver Canucks,National Hockey League,1,12,14,26,79,26,26,7.0,1010:35,115.0,84.0,2.0,3.0,51:14,953:49,42.11,12.2,3.0,0.0,0.0,0.0,05:32,33.0,1392.0
