,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,MODO Hockey U16,U16 Elit,43796,3,3,12,22,12,6,
0,20142015,MODO Hockey J18,J18 Elit,6064,0,1,0,3,0,1,4.0
0,20142015,MODO Hockey U16,U16 Elit,43796,16,7,34,21,34,23,
0,20152016,MoDo Hockey J20,J20 Nationell,5869,0,1,0,2,0,1,-3.0
0,20152016,MoDo Hockey J18,J18 Region,7158,5,5,35,19,35,10,27.0
0,20152016,MoDo Hockey J18,J18 Nationell,7918,7,0,8,17,8,7,6.0
0,20162017,MoDo Hockey,HockeyAllsvenskan,1320,1,0,4,12,4,1,1.0
0,20162017,MoDo Hockey J20,J20 Nationell,5869,10,5,16,37,16,15,14.0
0,20162017,MoDo Hockey J18,J18 Nationell,7918,2,0,2,3,2,2,4.0
0,20172018,MoDo Hockey,HockeyAllsvenskan,1320,6,1,10,37,10,7,-3.0
0,20172018,MoDo Hockey J20,JCWC,5030,2,1,45,6,45,3,-1.0
0,20172018,MoDo Hockey J20,J20 Nationell,5869,8,10,30,23,30,18,6.0
0,20172018,Örnsköldsvik HF,HockeyEttan,70021,0,0,2,2,2,0,-2.0
0,20182019,Providence Bruins,AHL,897,1,1,0,4,0,2,0.0
0,20182019,MoDo Hockey,HockeyAllsvenskan,1320,9,4,20,50,20,13,6.0
0,20182019,MoDo Hockey J20,J20 Nationell,5869,0,0,0,1,0,0,0.0
0,20192020,MoDo Hockey,HockeyAllsvenskan,1320,12,10,28,52,28,22,18.0
0,20202021,Luleå HF,SHL,869,17,4,6,50,6,21,-6.0
0,20212022,Providence Bruins,AHL,897,12,6,30,46,30,18,-5.0
0,20212022,Maine Mariners,ECHL,251095,3,1,0,3,0,4,0.0
