,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20082009,Skelleftea U18,Swe-U18,1,7,7,16,14,16,14,,,,,,,,,,,,,,,,,
0,20092010,Skelleftea U18,Swe-U18,1,48,52,60,40,60,100,,,,,,,,,,,,,,,,,
0,20092010,Skelleftea Jr.,Swe-Jr.,2,1,0,2,2,2,1,,,,,,,,,,,,,,,,,
0,20102011,Skelleftea U18,Swe-U18,1,7,7,18,4,18,14,,,,,,,,,,,,,,,,,
0,20102011,Skelleftea Jr.,Swe-Jr.,2,19,15,51,40,51,34,,,,,,,,,,,,,,,,,
0,20102011,Skelleftea,Sweden,3,0,0,0,3,0,0,,,,,,,,,,,,,,,,,
0,20112012,Skelleftea Jr.,Swe-Jr.,1,17,25,18,43,18,42,,,,,,,,,,,,,,,,,
0,20112012,Skelleftea,Sweden,2,0,0,0,4,0,0,,,,,,,,,,,,,,,,,
0,20122013,Skelleftea Jr.,Swe-Jr.,1,1,3,0,4,0,4,,,,,,,,,,,,,,,,,
0,20122013,Skelleftea,Sweden,2,5,7,12,49,12,12,,,,,,,,,,,,,,,,,
0,20132014,Skelleftea,Sweden,1,24,16,59,50,59,40,,,,,,,,,,,,,,,,,
0,20142015,Nashville Predators,National Hockey League,1,0,0,0,6,0,0,61:32,9.0,3.0,0.0,0.0,00:00,61:32,0.0,0.0,0.0,0.0,0.0,0.0,00:00,5.0,0.0,84.0
0,20142015,Milwaukee,AHL,2,33,22,43,70,43,55,,272.0,,8.0,,,,,8.1,4.0,,0.0,,,,1.0,
0,20152016,Nashville Predators,National Hockey League,1,8,8,35,56,35,16,694:28,139.0,27.0,1.0,1.0,18:48,669:54,0.0,5.76,3.0,0.0,0.0,0.0,05:46,35.0,-8.0,950.0
0,20152016,Milwaukee,AHL,2,10,8,6,17,6,18,,85.0,,6.0,,,,,9.4,1.0,,0.0,,,,6.0,
0,20152016,Milwaukee Admirals,AHL,1017,10,8,6,17,6,18,,,,,,,,,,,,,,,,6.0,
0,20162017,Nashville Predators,National Hockey League,1,30,31,28,80,28,61,1372:23,246.0,23.0,4.0,9.0,159:22,1127:51,25.0,12.6,6.0,1.0,5.0,7.0,85:10,45.0,16.0,1906.0
0,20172018,Nashville Predators,National Hockey League,1,32,29,36,78,36,61,1384:22,247.0,30.0,3.0,8.0,195:43,1084:38,33.33,11.74,6.0,1.0,3.0,3.0,104:01,52.0,20.0,1877.0
0,20172018,Sweden,WC,6815,0,3,6,5,6,3,,,,,,,,,,,,,,,,4.0,
0,20182019,Nashville Predators,National Hockey League,1,14,34,26,58,26,48,1110:27,195.0,18.0,3.0,4.0,168:41,867:35,11.76,17.44,7.0,0.0,2.0,3.0,74:11,23.0,12.0,1388.0
0,20192020,Nashville Predators,National Hockey League,1,13,15,26,57,26,28,923:31,127.0,27.0,4.0,8.0,140:43,749:35,57.89,11.8,1.0,0.0,0.0,0.0,33:13,24.0,-4.0,1152.0
0,20202021,Nashville Predators,National Hockey League,1,15,10,21,50,21,25,830:14,151.0,15.0,2.0,3.0,108:03,720:42,33.33,6.6,2.0,0.0,0.0,0.0,01:29,33.0,9.0,993.0
0,20212022,Los Angeles Kings,National Hockey League,1,29,20,22,66,22,49,1120:38,227.0,23.0,4.0,8.0,173:01,946:28,36.36,8.8,3.0,1.0,0.0,0.0,01:09,45.0,1.0,1387.0
