,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Leksands IF U16,U16 Elit,43776,13,6,8,27,8,19,,,,,,,,,,,,,,,,,
0,20142015,Leksands IF J18,J18 Elit,6034,0,0,0,2,0,0,-1.0,,,,,,,,,,,,,,,,
0,20142015,Häradsbygdens SS J18,J18 Div.1,40528,2,5,6,7,6,7,,,,,,,,,,,,,,,,,
0,20142015,Leksands IF U16,U16 Elit,43776,22,15,24,26,24,37,,,,,,,,,,,,,,,,,
0,20152016,Örebro HK J18,J18 Region,13998,12,9,37,18,37,21,,,,,,,,,,,,,,,,,
0,20152016,Örebro HK J18,J18 Nationell,14758,4,4,8,17,8,8,-2.0,,,,,,,,,,,,,,,,
0,20162017,Örebro HK J20,J20 Nationell,10789,1,0,4,5,4,1,-2.0,,,,,,,,,,,,,,,,
0,20162017,Örebro HK J18,J18 Region,13998,8,10,16,19,16,18,,,,,,,,,,,,,,,,,
0,20162017,Örebro HK J18,J18 Nationell,14758,7,4,22,15,22,11,-7.0,,,,,,,,,,,,,,,,
0,20172018,Enköpings SK,HockeyEttan,10691,0,0,2,1,2,0,-2.0,,,,,,,,,,,,,,,,
0,20172018,Örebro HK J20,J20 Nationell,10789,20,13,60,44,60,33,-1.0,,,,,,,,,,,,,,,,
0,20182019,Örebro HK,SHL,1159,4,1,14,41,14,5,1.0,,,,,,,,,,,,,,,,
0,20182019,Örebro HK J20,J20 Nationell,10789,11,7,72,18,72,18,-6.0,,,,,,,,,,,,,,,,
0,20192020,Örebro HK,SHL,1159,4,0,2,22,2,4,-1.0,,,,,,,,,,,,,,,,
0,20192020,HC Vita Hästen,HockeyAllsvenskan,4450,5,3,4,18,4,8,-3.0,,,,,,,,,,,,,,,,
0,20202021,Timrå IK,HockeyAllsvenskan,1340,26,14,20,47,20,40,14.0,,,,,,,,,,,,,,,,
0,20212022,Ottawa Senators,National Hockey League,1,0,0,0,1,0,0,0.0,10:25,3.0,0.0,0.0,0.0,01:34,08:51,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,14.0
0,20212022,Timrå IK,SHL,909,15,12,45,44,45,27,-5.0,,,,,,,,,,,,,,,,
0,20212022,Belleville Senators,AHL,227817,3,5,2,10,2,8,4.0,,,,,,,,,,,,,,,,
