,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Arlanda U18,Swe-U18,1,7,2,4,5,4,9,,,,,,,,,,,,,,,,,
0,20082009,Arlanda U18,Swe-U18,1,18,10,16,33,16,28,,,,,,,,,,,,,,,,,
0,20092010,Vasteras U18,Swe-U18,1,21,23,62,39,62,44,,,,,,,,,,,,,,,,,
0,20092010,Vasteras Jr.,Swe-Jr.,2,1,0,2,6,2,1,,,,,,,,,,,,,,,,,
0,20102011,Vasteras U18,Swe-U18,1,9,5,10,11,10,14,,,,,,,,,,,,,,,,,
0,20102011,Vasteras Jr.,Swe-Jr.,2,34,20,45,38,45,54,,,,,,,,,,,,,,,,,
0,20102011,Vasteras,Sweden-2,3,3,1,2,14,2,4,,,,,,,,,,,,,,,,,
0,20102011,Sweden,WJ18-A,4,3,2,6,6,6,5,1.0,1.0,0.0,8.0,,,,,,,,,,,,,
0,20112012,Vasteras,Sweden-2,1,34,13,6,52,6,47,,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJC-A,3,1,1,0,6,0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,HV 71,Sweden,1,24,4,12,50,12,28,,,,,,,,,,,,,,,,,
0,20122013,Sweden,WJC-A,2,2,0,2,6,2,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
0,20132014,HV 71,Sweden,1,22,15,14,55,14,37,,,,,,,,,,,,,,,,,
0,20132014,Norfolk,AHL,2,7,2,6,9,6,9,0.0,0.0,0.0,5.0,18.0,11.1,,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,1,2,2,18,2,3,0.0,1.0,0.0,1.0,24.0,8.33,218:33,14.0,1.0,40:23,178:10,48.78,0.0,0.0,00:00,6.0,288.0
0,20142015,Columbus Blue Jackets,National Hockey League,2,1,1,0,3,0,2,0.0,0.0,0.0,2.0,5.0,20.0,38:19,4.0,0.0,00:00,37:51,39.39,0.0,0.0,00:28,1.0,50.0
0,20142015,Springfield,AHL,3,0,0,0,15,0,0,0.0,0.0,0.0,-11.0,23.0,0.0,,,,,,,,,,,
0,20142015,Norfolk,AHL,4,16,8,2,37,2,24,3.0,1.0,0.0,-5.0,86.0,9.3,,,,,,,,,,,
0,20152016,Columbus Blue Jackets,National Hockey League,1,11,9,6,81,6,20,0.0,1.0,0.0,-9.0,108.0,8.33,1172:04,40.0,0.0,21:54,977:09,45.66,0.0,0.0,173:01,48.0,1598.0
0,20162017,Columbus Blue Jackets,National Hockey League,1,19,6,10,81,10,25,1.0,3.0,0.0,10.0,96.0,6.25,1084:23,35.0,1.0,16:31,935:58,45.31,0.0,2.0,131:54,24.0,1587.0
0,20162017,Sweden,WC,6815,2,1,0,10,0,3,,,,6.0,,,,,,,,,,,,,
0,20162017,Sweden,EHT,89816,0,0,0,2,0,0,,,,2.0,,,,,,,,,,,,,
0,20172018,Vegas Golden Knights,National Hockey League,1,35,43,12,82,12,78,8.0,6.0,4.0,49.0,184.0,23.37,1534:47,48.0,16.0,197:20,1201:56,48.03,1.0,5.0,135:31,45.0,1807.0
0,20182019,Vegas Golden Knights,National Hockey League,1,32,24,16,82,16,56,7.0,5.0,1.0,1.0,169.0,14.2,1545:27,51.0,14.0,199:40,1220:19,47.65,0.0,3.0,125:28,55.0,1737.0
0,20192020,Vegas Golden Knights,National Hockey League,1,31,15,16,63,16,46,2.0,1.0,2.0,11.0,138.0,10.9,1188:33,40.0,8.0,123:18,944:19,51.9,0.0,5.0,120:56,38.0,1393.0
0,20202021,Vegas Golden Knights,National Hockey League,1,25,14,4,56,4,39,1.0,4.0,0.0,19.0,111.0,12.6,1045:26,29.0,8.0,152:23,793:34,54.01,1.0,1.0,99:29,29.0,1270.0
0,20212022,Vegas Golden Knights,National Hockey League,1,23,12,10,67,10,35,1.0,0.0,2.0,3.0,135.0,8.9,1224:53,42.0,3.0,136:04,986:14,51.68,0.0,2.0,102:35,42.0,1528.0
