,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Team Maryland Bantam Minor,AYMBHL,222161,26,25,12,28,12,0.0,51,,,,,,,,,,,,,,,,
0,20102011,Chicago Mission Bantam Major AAA,T1EBHL,141299,27,34,8,29,8,0.0,61,,,,,,,,,,,,,,,,
0,20112012,SDE U18,Swe-U18,1,14,12,14,18,14,,26,,,,,,,,,,,,,,,,
0,20112012,Sodertalje U18,Swe-U18,2,5,7,2,9,2,,12,,,,,,,,,,,,,,,,
0,20112012,Sodertalje Jr.,Swe-Jr.,3,3,1,2,8,2,,4,,,,,,,,,,,,,,,,
0,20122013,Sodertalje U18,Swe-U18,1,1,2,2,1,2,,3,,,,,,,,,,,,,,,,
0,20122013,Sodertalje Jr.,Swe-Jr.,2,28,15,14,27,14,,43,,,,,,,,,,,,,,,,
0,20122013,Sodertalje,Sweden-2,3,3,6,6,18,6,,9,,,,,,,,,,,,,,,,
0,20132014,Sodertalje,Sweden-2,1,8,11,6,17,6,,19,,,,,,,,,,,,,,,,
0,20132014,Rogle,Sweden-2,2,4,4,10,18,10,,8,,,,,,,,,,,,,,,,
0,20132014,MODO Jr.,Swe-Jr.,3,3,0,4,3,4,,3,,,,,,,,,,,,,,,,
0,20132014,MODO,Sweden,4,6,1,6,22,6,,7,,,,,,,,,,,,,,,,
0,20132014,Sweden,WJ18-A,6,10,6,0,7,0,8.0,16,26.0,2.0,2.0,0.0,,,,,,,,,,,,
0,20142015,MODO,Sweden,1,12,8,6,21,6,3.0,20,,,,,,,,,,,,,,,,
0,20142015,Sweden,WJC-A,2,7,3,0,7,0,-2.0,10,23.0,0.0,1.0,0.0,,,,,,,,,,,,
0,20142015,Toronto,AHL,3,18,14,4,37,4,8.0,32,73.0,5.0,0.0,0.0,19.2,,,,,,,,,,,
0,20152016,Toronto Maple Leafs,National Hockey League,1,7,6,4,22,4,1.0,13,43.0,1.0,1.0,0.0,13.95,359:26,5.0,3.0,59:45,299:27,49.14,0.0,0.0,00:14,5.0,472.0
0,20152016,Toronto,AHL,2,27,18,10,38,10,7.0,45,112.0,3.0,4.0,0.0,16.1,,,,,,,,,,,
0,20152016,Sweden,WJC-A,3,0,1,0,1,0,2.0,1,1.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,0,1,0,1,0,2.0,1,,,,,,,,,,,,,,,,
0,20152016,Toronto Marlies,AHL,13377,27,18,10,38,10,7.0,45,,,,,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,39,22,32,81,32,-3.0,61,205.0,9.0,2.0,0.0,10.73,1297:00,25.0,26.0,190:46,1105:37,40.16,0.0,0.0,00:37,16.0,1766.0
0,20162017,Sweden,WC,6815,7,7,2,10,2,11.0,14,,,,,,,,,,,,,,,,
0,20172018,Toronto Maple Leafs,National Hockey League,1,41,20,10,82,10,20.0,61,184.0,5.0,8.0,0.0,10.87,1368:27,21.0,12.0,165:26,1201:10,51.38,2.0,0.0,01:51,18.0,1869.0
0,20182019,Toronto Maple Leafs,National Hockey League,1,20,7,16,54,16,-4.0,27,130.0,1.0,0.0,0.0,5.38,837:51,16.0,6.0,100:16,735:04,55.16,0.0,0.0,02:31,14.0,1145.0
0,20182019,Sweden,WC,6815,13,5,0,8,0,16.0,18,,,,,,,,,,,,,,,,
0,20192020,Toronto Maple Leafs,National Hockey League,1,28,31,12,68,12,-2.0,59,197.0,9.0,7.0,0.0,15.7,1238:11,9.0,17.0,196:07,1041:07,50.0,1.0,0.0,00:57,14.0,1493.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,25,17,16,51,16,10.0,42,133.0,4.0,2.0,0.0,12.8,846:38,12.0,11.0,123:46,722:11,56.52,1.0,0.0,00:41,15.0,1056.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,46,34,16,81,16,-9.0,80,256.0,13.0,7.0,0.0,13.3,1480:03,19.0,31.0,244:33,1210:54,52.31,2.0,0.0,24:36,30.0,1774.0
0,20212022,Sweden,WC,6815,2,3,2,3,2,0.0,5,,,,,,,,,,,,,,,,
