,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20042005,Brantford 99ers Minor Midget AAA,AHMMPL,64248,18,24,12,67,12,0.0,42,,,,,,,,,,,,,,,,
0,20052006,Brantford 99ers Midget AAA,AHMPL,53327,40,33,36,39,36,0.0,73,,,,,,,,,,,,,,,,
0,20062007,Stratford,OJHL-B,1,43,30,68,52,68,,73,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Penticton,BCHL,2,36,27,14,46,14,,63,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Ohio State,CCHA,1,12,13,25,37,25,,25,,,,,,,,,,,,,,,,
0,20092010,Ohio State,CCHA,1,24,21,19,39,19,,45,,,,,,,,,,,,,,,,
0,20092010,Albany,AHL,2,2,6,0,9,0,0.0,8,,,,,,,0.0,1.0,0.0,,,,,,,
0,20102011,Carolina Hurricanes,National Hockey League,1,1,3,0,15,0,0.0,4,119:05,01:22,117:03,26.92,00:40,197.0,0.0,1.0,0.0,16.0,10.0,0.0,18.75,0.0,0.0,5.0
0,20102011,Charlotte,AHL,2,34,23,21,61,21,7.0,57,,,,,,,7.0,2.0,2.0,170.0,,,13.53,,,
0,20112012,Carolina Hurricanes,National Hockey League,1,2,1,4,16,4,-3.0,3,153:21,14:57,138:04,45.45,00:20,230.0,0.0,0.0,0.0,20.0,16.0,0.0,5.0,0.0,0.0,4.0
0,20112012,Charlotte,AHL,2,14,18,17,56,17,-1.0,32,,,,,,,6.0,2.0,2.0,183.0,,,9.84,,,
0,20122013,Carolina Hurricanes,National Hockey League,1,2,1,0,10,0,-7.0,3,123:01,08:43,114:18,33.33,00:00,181.0,0.0,0.0,0.0,18.0,14.0,0.0,5.56,0.0,0.0,4.0
0,20122013,Charlotte,AHL,2,21,21,12,54,12,16.0,42,,,,,,,6.0,3.0,3.0,176.0,,,11.93,,,
0,20132014,Vancouver Canucks,National Hockey League,1,3,4,6,55,6,-7.0,7,392:09,13:26,377:18,45.89,01:25,626.0,1.0,0.0,0.0,52.0,36.0,1.0,7.69,0.0,0.0,9.0
0,20132014,Utica,AHL,2,3,0,2,6,2,-6.0,3,,,,,,,0.0,0.0,0.0,14.0,,,0.0,,,
0,20142015,Buffalo Sabres,National Hockey League,1,2,1,4,21,4,-11.0,3,194:49,01:15,193:34,60.61,00:00,285.0,0.0,0.0,0.0,29.0,15.0,0.0,3.45,0.0,0.0,8.0
0,20142015,Rochester,AHL,2,12,16,0,44,0,-7.0,28,,,,,,,3.0,1.0,1.0,135.0,,,11.9,,,
0,20152016,Minnesota Wild,National Hockey League,1,0,1,0,2,0,0.0,1,20:30,00:35,19:21,64.71,00:34,31.0,0.0,0.0,0.0,3.0,3.0,0.0,33.33,0.0,0.0,0.0
0,20152016,Iowa,AHL,2,1,3,24,8,24,1.0,4,,,,,,,0.0,1.0,0.0,26.0,,,11.5,,,
0,20152016,Iowa Wild,AHL,149087,1,3,24,8,24,1.0,4,,,,,,,,,,,,,,,,
0,20162017,Minnesota Wild,National Hockey League,1,2,1,9,9,9,0.0,3,77:00,00:06,76:54,45.76,00:00,121.0,0.0,0.0,0.0,8.0,5.0,0.0,12.5,0.0,0.0,5.0
0,20162017,Cleveland Monsters,AHL,22447,6,8,22,20,22,-2.0,14,,,,,,,,,,,,,,,,
0,20162017,Iowa Wild,AHL,149087,0,2,0,12,0,0.0,2,,,,,,,,,,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,0,0,13,12,13,-3.0,0,89:18,02:53,86:25,29.17,00:00,139.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,4.0
0,20172018,Cleveland Monsters,AHL,22447,15,11,35,35,35,-7.0,26,,,,,,,,,,,,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,1,0,0,1,0,1.0,1,09:01,00:00,09:01,0.0,00:00,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20182019,Cleveland Monsters,AHL,22447,22,33,43,55,43,17.0,55,,,,,,,,,,,,,,,,
0,20182019,Team Canada,Spengler Cup,250335,1,1,0,3,0,1.0,2,,,,,,,,,,,,,,,,
0,20192020,Cleveland Monsters,AHL,22447,4,7,4,18,4,3.0,11,,,,,,,,,,,,,,,,
0,20202021,Columbus Blue Jackets,National Hockey League,1,1,2,0,12,0,-2.0,3,127:29,00:04,116:09,45.0,11:16,198.0,0.0,0.0,0.0,22.0,11.0,0.0,9.1,0.0,0.0,8.0
0,20202021,Cleveland Monsters,AHL,22447,1,3,5,5,5,-4.0,4,,,,,,,,,,,,,,,,
0,20212022,Florida Panthers,National Hockey League,1,0,0,0,1,0,-1.0,0,06:08,00:00,06:08,25.0,00:00,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
0,20212022,Charlotte Checkers,AHL,2357,9,30,43,68,43,-11.0,39,,,,,,,,,,,,,,,,
