,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Richmond Generals 16U,EJEPL 16U,190030,23,5,4.0,19,4,28,,,,,,,,,,,,,,,,,
0,20152016,Selects Academy 16U AAA,USPHL 16U,112846,5,1,4.0,22,4,6,,,,,,,,,,,,,,,,,
0,20152016,Team Red,USA-S15,178013,2,1,,5,,3,,,,,,,,,,,,,,,,,
0,20162017,Selects Academy 16U AAA,USPHL 16U,112846,3,0,2.0,6,2,3,,,,,,,,,,,,,,,,,
0,20162017,Team Grey,USA-S16,177914,1,0,,5,,1,,,,,,,,,,,,,,,,,
0,20172018,Selects Academy 18U AAA,USPHL 18U,149378,7,2,2.0,7,2,9,,,,,,,,,,,,,,,,,
0,20172018,Selects Academy 18U AAA,18U AAA,149588,37,8,28.0,54,28,45,,,,,,,,,,,,,,,,,
0,20172018,Team Gold,USA-S17,177415,2,0,,5,,2,,,,,,,,,,,,,,,,,
0,20182019,Tri-City Storm,USHL,28026,45,7,38.0,56,38,52,38.0,,,,,,,,,,,,,,,,
0,20182019,USA U19,WJAC-19,87412,3,1,2.0,6,2,4,,,,,,,,,,,,,,,,,
0,20192020,Univ. of Massachusetts,NCAA,11300,20,3,24.0,32,24,23,12.0,,,,,,,,,,,,,,,,
0,20192020,USA U20,WJC-20,17276,1,1,0.0,5,0,2,1.0,,,,,,,,,,,,,,,,
0,20202021,New York Rangers,National Hockey League,1,4,0,2.0,10,2,4,-2.0,149:50,12.0,8.0,0.0,1.0,08:02,140:10,0.0,0.0,0.0,0.0,0.0,0.0,01:38,8.0,202.0
0,20202021,Univ. of Massachusetts,NCAA,11300,15,9,8.0,29,8,24,17.0,,,,,,,,,,,,,,,,
0,20202021,USA,WC,17215,3,0,4.0,10,4,3,5.0,,,,,,,,,,,,,,,,
0,20212022,New York Rangers,National Hockey League,1,2,0,0.0,12,0,2,-7.0,182:05,8.0,4.0,0.0,0.0,10:58,170:58,0.0,0.0,0.0,0.0,0.0,0.0,00:09,13.0,213.0
0,20212022,Hartford Wolf Pack,AHL,847,26,9,25.0,52,25,35,-4.0,,,,,,,,,,,,,,,,
